eid,cr_match,cr_funders,cr_n_funders,cr_license_types,cr_has_license,cr_reference_count,cr_issn,cr_container_title,cr_published_year,cr_type
2-s2.0-105038431270,doi,,0,tdm; vor,True,40.0,2045-2322,Scientific Reports,2026.0,journal-article
2-s2.0-105035804991,doi,,0,tdm; vor,True,42.0,2731-5525,Discover Education,2026.0,journal-article
2-s2.0-105039523489,doi,,0,tdm; vor,True,34.0,2662-9984,Discover Sustainability,2026.0,journal-article
2-s2.0-105036579469,doi,,0,,False,50.0,1076-0431; 1943-5568,Journal of Architectural Engineering,2026.0,journal-article
2-s2.0-105039829141,doi,Australian Research Council,1,tdm; vor,True,151.0,0926-5805,Automation in Construction,2026.0,journal-article
2-s2.0-105039967513,doi,United Arab Emirates University,1,tdm; vor,True,159.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105039813460,doi,,0,stm-asf; tdm,True,39.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105024140128,doi,National Natural Science Foundation of China; Hong Kong University of Science and Technology,2,tdm; vor,True,38.0,2095-2635,Frontiers of Architectural Research,2026.0,journal-article
2-s2.0-105038897769,doi,,0,stm-asf; tdm,True,30.0,0045-7906,Computers and Electrical Engineering,2026.0,journal-article
2-s2.0-105039786699,doi,Guangdong Provincial Natural Science Foundation; National Natural Science Foundation of China,2,stm-asf; tdm,True,53.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105034636250,doi,"Horizon Europe; European Commission; European Climate, Infrastructure and Environment Executive Agency",3,tdm; vor,True,53.0,2772-3755,Smart Agricultural Technology,2026.0,journal-article
2-s2.0-105037745526,doi,Tianjin Municipal Science and Technology Bureau; Key Technologies Research and Development Program,2,stm-asf; tdm,True,57.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105037738369,doi,,0,stm-asf; tdm,True,51.0,0967-070X,Transport Policy,2026.0,journal-article
2-s2.0-105038742714,doi,Shenzhen Basic Research Program; National Natural Science Foundation of China,2,stm-asf; tdm,True,80.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037445983,doi,Gobierno de España Ministerio de Ciencia e Innovación; Gobierno de España Ministerio de Universidades,2,tdm; vor,True,48.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105039268083,doi,National Natural Science Foundation of China; Intelligence Community Postdoctoral Research Fellowship Program,2,am; stm-asf; tdm,True,53.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105032991932,doi,Qatar National Library,1,tdm; vor,True,44.0,2214-9937,Sustainable Materials and Technologies,2026.0,journal-article
2-s2.0-105038348691,doi,National Natural Science Foundation of China,1,stm-asf; tdm,True,40.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105038814362,doi,National Natural Science Foundation of China; Guangdong Provincial Natural Science Foundation,2,stm-asf; tdm,True,71.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037762368,doi,National Natural Science Foundation of China National Outstanding Youth Science Fund Project; Sichuan Agricultural University; National Natural Science Foundation of China,3,stm-asf; tdm,True,37.0,1359-4311,Applied Thermal Engineering,2026.0,journal-article
2-s2.0-105038761297,doi,,0,tdm; vor,True,84.0,0165-1889,Journal of Economic Dynamics and Control,2026.0,journal-article
2-s2.0-105036328474,doi,,0,tdm; vor,True,52.0,2949-821X,Next Energy,2026.0,journal-article
2-s2.0-105037440667,doi,London South Bank University; British Council; British Council; United Arab Emirates University; Science and Technology Development Fund,5,tdm; vor,True,28.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105032881431,doi,Key Technologies Research and Development Program; National Natural Science Foundation of China,2,stm-asf; tdm,True,36.0,0967-0661,Control Engineering Practice,2026.0,journal-article
2-s2.0-105036251755,doi,,0,stm-asf; tdm,True,46.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105036242306,doi,National Natural Science Foundation of China; National Natural Science Foundation of China,2,stm-asf; tdm,True,34.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105035264470,doi,,0,stm-asf; tdm,True,56.0,0360-5442,Energy,2026.0,journal-article
2-s2.0-105034360495,doi,,0,stm-asf; tdm,True,85.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105034627643,doi,National Science Foundation; National Science Foundation,2,stm-asf; tdm,True,66.0,0167-6105,Journal of Wind Engineering and Industrial Aerodynamics,2026.0,journal-article
2-s2.0-105025022388,doi,,0,tdm; vor,True,62.0,2352-4847,Energy Reports,2026.0,journal-article
2-s2.0-105035254581,doi,,0,tdm; vor,True,50.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105024611275,doi,Japan Society for the Promotion of Science; Japan Society for the Promotion of Science; H2020 Marie Skłodowska-Curie Actions; European Commission; Osaka Metropolitan University,5,tdm; vor,True,80.0,2666-1888,Sustainable Futures,2026.0,journal-article
2-s2.0-105032701225,doi,,0,,False,0.0,2383-8701,Journal of Daylighting,2026.0,journal-article
2-s2.0-105026452555,doi,Sichuan Province Key Laboratory of Heavy Rain and Drought-Flood Disasters in Plateau and Basin; National Natural Science Foundation of China; National Natural Science Foundation of China,3,tdm; vor,True,47.0,2352-4847,Energy Reports,2026.0,journal-article
2-s2.0-105038769941,doi,Vellore Institute of Technology - Chennai Campus,1,tdm; vor,True,39.0,2666-7207,Results in Control and Optimization,2026.0,journal-article
2-s2.0-105031629892,doi,Key Technologies Research and Development Program; National Key Research and Development Program of China; National Natural Science Foundation of China,3,stm-asf; tdm,True,38.0,0141-6359,Precision Engineering,2026.0,journal-article
2-s2.0-105035388547,doi,Norges Teknisk-Naturvitenskapelige Universitet,1,stm-asf; tdm,True,89.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105035055152,doi,,0,stm-asf; tdm,True,35.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105039957234,doi,,0,vor,True,43.0,0027-8424; 1091-6490,Proceedings of the National Academy of Sciences,2026.0,journal-article
2-s2.0-105039260780,doi,Fonds Wetenschappelijk Onderzoek,1,stm-asf,True,65.0,1944-8244; 1944-8252,ACS Applied Materials &amp; Interfaces,2026.0,journal-article
2-s2.0-105033708421,doi,Shandong Province Natural Science Foundation,1,stm-asf; tdm,True,61.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105033720864,doi,Ministry of Science and Technology of the People's Republic of China; National Key Research and Development Program of China,2,stm-asf; tdm,True,50.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105037816760,doi,,0,,False,56.0,2148-3736,El-Cezeri Fen ve Mühendislik Dergisi,2026.0,journal-article
2-s2.0-105040080485,doi,National Natural Science Foundation of China,1,vor,True,92.0,1996-1073,Energies,2026.0,journal-article
2-s2.0-105027935795,doi,Agencia Estatal de Investigación; European Regional Development Fund; Gobierno de España Ministerio de Ciencia e Innovación; Gobierno de España Ministerio de Ciencia e Innovación,4,tdm; vor,True,45.0,0927-0248,Solar Energy Materials and Solar Cells,2026.0,journal-article
2-s2.0-105036503017,doi,,0,vor,True,18.0,2642-6641; 2642-6625,ASME Journal of Engineering for Sustainable Buildings and Cities,2026.0,journal-article
2-s2.0-105038219631,doi,Institute of Information Communications Technology Planning Evaluation; Ministry of Science and ICT,2,vor,True,45.0,2288-5048,Journal of Computational Design and Engineering,2026.0,journal-article
2-s2.0-105031895975,doi,Fundamental Research Funds for the Central Universities; Fundamental Research Funds for the Central Universities,2,stm-asf; tdm,True,35.0,1359-4311,Applied Thermal Engineering,2026.0,journal-article
2-s2.0-105040066374,doi,Research Initiation Fund; Central Finance Forestry and Grassland Science and Technology Promotion Demonstration Pro-ject,2,vor,True,61.0,1467-3045,Current Issues in Molecular Biology,2026.0,journal-article
2-s2.0-105028497514,doi,,0,tdm; vor,True,203.0,2590-1745,Energy Conversion and Management: X,2026.0,journal-article
2-s2.0-105034579858,doi,National Key Research and Development Program of China; National Natural Science Foundation of China; National Natural Science Foundation of China; China Postdoctoral Science Foundation; China Postdoctoral Science Foundation; Natural Science Foundation of Anhui Province,6,stm-asf; tdm,True,48.0,0960-1481,Renewable Energy,2026.0,journal-article
2-s2.0-105032104928,doi,European Commission,1,tdm; vor,True,44.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105037547057,doi,Macau University of Science and Technology; GCHU funding from University of Oxford; Social Sciences 2035 Program of Shenzhen University,3,tdm; vor,True,89.0,0020-7128; 1432-1254,International Journal of Biometeorology,2026.0,journal-article
2-s2.0-105031172632,doi,University of Technology Sydney; Leverhulme Trust,2,tdm; vor,True,46.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105038552379,doi,National Natural Science Foundation of China,1,vor,True,44.0,2075-5309,Buildings,2026.0,journal-article
2-s2.0-105027941516,doi,Science and Engineering Research Board; Nano Mission,2,stm-asf; tdm,True,46.0,0927-0248,Solar Energy Materials and Solar Cells,2026.0,journal-article
2-s2.0-105040100498,doi,,0,vor,True,34.0,2075-5309,Buildings,2026.0,journal-article
2-s2.0-105033239035,doi,National Key Research and Development Program of China; National University of Singapore; Ministry of Education - Singapore,3,stm-asf; tdm,True,56.0,0360-1323,Building and Environment,2026.0,journal-article
2-s2.0-105031888860,doi,,0,stm-asf; tdm,True,149.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105031735170,doi,Innovation and Technology Commission; University Grants Committee Research Grants Council,2,stm-asf; tdm,True,61.0,0196-8904,Energy Conversion and Management,2026.0,journal-article
2-s2.0-105030483087,doi,National Natural Science Foundation of China,1,stm-asf; tdm,True,250.0,1364-0321,Renewable and Sustainable Energy Reviews,2026.0,journal-article
2-s2.0-105040050308,doi,National Research Foundation of Korea; Chungwoon University,2,vor,True,26.0,1996-1073,Energies,2026.0,journal-article
2-s2.0-105034725653,doi,"Ministério da Ciência, Tecnologia e Ensino Superior; Foundation for Science and Technology; Institute of Research and Development in Structures and Construction; Technische Universiteit Eindhoven",4,tdm; vor,True,61.0,0950-0618,Construction and Building Materials,2026.0,journal-article
2-s2.0-105036436530,doi,VIT University,1,unspecified,True,42.0,2470-1343; 2470-1343,ACS Omega,2026.0,journal-article
2-s2.0-105040227506,doi,,0,,False,0.0,,"Sensors and Smart Structures Technologies for Civil, Mechanical, and Aerospace Systems 2026",2026.0,proceedings-article
2-s2.0-105031083425,doi,National Natural Science Foundation of China,1,stm-asf; tdm,True,45.0,0196-8904,Energy Conversion and Management,2026.0,journal-article
2-s2.0-105029653511,doi,University of Technology Sydney; Leverhulme Trust,2,tdm; vor,True,77.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105035264735,doi,Gansu Provincial Natural Science Foundation; Gansu Education Department; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China,6,stm-asf; tdm,True,54.0,0029-8018,Ocean Engineering,2026.0,journal-article
2-s2.0-105029647797,doi,National Science Foundation; National Science Foundation,2,am; stm-asf; tdm,True,40.0,0378-7788,Energy and Buildings,2026.0,journal-article
2-s2.0-105024759679,doi,"Department of Biotechnology, Ministry of Science and Technology, India; Biotechnology Industry Research Assistance Council",2,stm-asf; tdm,True,61.0,1746-8094,Biomedical Signal Processing and Control,2026.0,journal-article
2-s2.0-105024445764,doi,,0,,False,43.0,0168-2601; 2633-9838,Open House International,2025.0,journal-article
2-s2.0-105037043202,doi,Malta Endeavour (Group B) 3rd Call Scholarship Grant 2017,1,vor,True,24.0,2075-5309,Buildings,2026.0,journal-article
2-s2.0-105036811313,doi,University’s Research Centre for Future (Caring) Mobility; Child Project of RIAIoT; SD/COMP Joint Research Scheme; Collaborative Research with World-leading Research Groups,4,vor,True,44.0,2075-5309,Buildings,2026.0,journal-article
2-s2.0-105034762437,doi,,0,unspecified,True,0.0,2309-3072; 2307-4485,проект байкал,2026.0,journal-article
2-s2.0-105029437626,doi,"National Science Foundation; Simons Laufer Mathematical Sciences Institute, University of California Berkeley; Simons Laufer Mathematical Sciences Institute, University of California Berkeley; Office of The Provost; Texas Tech University",5,am; stm-asf; tdm,True,62.0,0167-6105,Journal of Wind Engineering and Industrial Aerodynamics,2026.0,journal-article
2-s2.0-105033816142,doi,,0,tdm; vor,True,66.0,2365-3159; 2365-3167,Journal of Building Pathology and Rehabilitation,2026.0,journal-article
