eid,title,source,doctype,abstract_status,decision,reason_category,confidence,judged_on,mechanism_family,study_type,performance_reported,one_line
2-s2.0-105003744645,Development of dynamic shading control for daylight measures in green buildings towards overall energy efficiency of lighting and air-conditioning systems,Low Carbon Materials and Green Construction,Article,ok,include,,high,abstract,unclear,unclear,multiple,facade + physical movement (shading adjustment)
2-s2.0-85162162220,Switchable Kirigami Structures as Window Envelopes for Energy-Efficient Buildings,Research,Article,ok,include,,high,abstract,origami-deployable,unclear,energy,facade + physical movement (kirigami)
2-s2.0-85010756942,Influence of orientation and the impact of external window shading on building thermal performance in tropical climate,Energy and Buildings,Article,ok,include,,high,abstract,unclear,experiment,energy,facade + physical movement (movable)
2-s2.0-85127839403,Kinetic Shading System as a means for Optimizing Energy Load A Parametric Approach to Optimize Daylight Performance for an Office Building in Rome,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,Conference Paper,ok,include,,high,abstract,unclear,experiment,multiple,facade + physical movement (kinetic facade; kinetic shad)
2-s2.0-85192763646,"KINETIC ARCHITECTURE AS A RESPONSE TO ADAPTIVE BEHAVIOR TO CLIMATE, A CASE STUDY THROUGH VIRTUAL MODELS",Proceedings of International Structural Engineering and Construction,Conference Paper,ok,include,,high,abstract,unclear,simulation,energy,facade + physical movement (kinetic envelope; movable)
2-s2.0-85140440872,Kinetic Architecture and BIM: The State of Art and Future Visions,Communications in Computer and Information Science,Conference Paper,ok,include,,high,abstract,unclear,simulation,none,facade + physical movement (kinetic façade)
2-s2.0-105018678599,An integrated generative-analytic framework for the performance-driven design of kinetic façades,Smart and Sustainable Built Environment,Article,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (kinetic façade)
2-s2.0-85128612826,Evaluating Adaptive Facade Performance in Early Building Design Stage: An Integrated Daylighting Simulation and Machine Learning,Lecture Notes on Data Engineering and Communications Technologies,Book Chapter,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (kinetic facade)
2-s2.0-85071987660,Interactive kinetic façade: Improving visual comfort based on dynamic daylight and occupant's positions by 2D and 3D shape changes,Building and Environment,Article,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (kinetic façade)
2-s2.0-77957897485,A simulation of solar shading control on UK office energy use,Building Research and Information,Article,ok,include,,high,abstract,unclear,simulation,multiple,facade + physical movement (moveable)
2-s2.0-85079216383,Development of a self-sufficient dynamic façade within the context of climate change,Architectural Science Review,Article,ok,include,,high,abstract,unclear,experiment,multiple,facade + physical movement (actuator)
2-s2.0-85207520247,ENERGY ANALYSIS OF BUILDINGS WITH LARGE GLAZED SURFACES,Iet Conference Proceedings,Conference Paper,ok,include,,high,abstract,unclear,case-study,multiple,facade + physical movement (movable)
2-s2.0-85033366955,Experimental and Numerical Analysis of Modelling of Solar Shading,Energy Procedia,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-84906259400,An adaptive envelope spectrum technique for bearing fault detection,Measurement Science and Technology,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85139911022,Parametric-Based Multi-Objective Optimization Workflow: Daylight and Energy Performance Study of Hospital Building in Algeria,Sustainability Switzerland,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85124269240,Advanced control strategy to maximize view and control discomforting glare: a complex adaptive façade,Architectural Engineering and Design Management,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85023636842,A numerical study on the cumulative out-of-plane damage to church masonry façades due to a sequence of strong ground motions,Earthquake Engineering and Structural Dynamics,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105010013654,Application of a Dynamic Semitransparent Agrivoltaic Panel for Controlling Sunlight Allocation to Solar Cells and Crops,Advanced Sustainable Systems,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85107426727,A data-driven method to minimize sensor use for dynamic shading control,Journal of Physics Conference Series,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-105021080659,Smart Readiness Indicator metric for building envelope structures,Energy and Buildings,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-0031539248,Developing a dynamic envelope/lighting control system with field measurements,Journal of the Illuminating Engineering Society,Article,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-84973538521,Adaptive building facade optimisation : An integrated Green-BIM approach,Caadria 2016 21st International Conference on Computer Aided Architectural Design Research in Asia Living Systems and Micro Utopias Towards Continuous Designing,Conference Paper,ok,uncertain_fulltext,,low,abstract,,,,facade but abstract gives no explicit movement/optical/thermal cue
2-s2.0-85107421902,Dynamic simulations for inhomogeneous components,Building Simulation Conference Proceedings,Conference Paper,missing,exclude,not_facade,low,title_only,,,,no facade context and no movement signal
2-s2.0-105040100498,Dynamic Optimization Model for Passive Solar Shading and Its Application in Building Energy Efficiency Across Multiple,Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (latent heat; pcm; thermal mass)"
2-s2.0-85035038023,The mediterranean smart adaptive wall. An experimental design of a smart and adaptive facade module for the mediterranean climate,Energy and Buildings,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (pcm; phase change material)"
2-s2.0-105023679446,Applying Visible Difference Prediction to View Visibility,PLEA 2024 Re Thinking Resilience Proceedings of 37th PLEA Conference Sustainable Architecture and Urban Design the Book of Proceedings,Conference Paper,missing,exclude,not_facade,low,title_only,,,,no facade context and no movement signal
2-s2.0-85120781658,Reconfigurable neighborhood—mechatronisation of the urban design,Sustainability Switzerland,Article,ok,exclude,not_facade,high,abstract,,,,no facade context and no movement signal
2-s2.0-85010208983,Energy conservation and renewable technologies for buildings to face the impact of the climate change and minimize the use of cooling,Solar Energy,Article,ok,exclude,facade_no_movement,high,abstract,,,,"thermal-dynamic, no moving part (breathing wall; dynamic insulation; phase change material)"
2-s2.0-84976403014,Smart windows with dynamic spectral selectivity - A scoping study,14th International Conference of Ibpsa Building Simulation 2015 Bs 2015 Conference Proceedings,Conference Paper,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (switchable glaz)"
2-s2.0-0026995097,Dynamic evaluation of thermal bridges in a typical office building,ASHRAE Transactions,Conference Paper,missing,exclude,not_facade,low,title_only,,,,no facade context and no movement signal
2-s2.0-105034762437,Breathing architecture: Integrating nature and cities,Project Baikal,Article,ok,exclude,not_facade,high,abstract,,,,no facade context and no movement signal
2-s2.0-85175823497,Portable Photovoltaic-Self-Powered Flexible Electrochromic Windows for Adaptive Envelopes,Electronic Materials,Article,ok,exclude,facade_no_movement,high,abstract,,,,"optical/material-state, no geometry (electrochrom)"
2-s2.0-85151983532,Hygroscopy and adaptive architectural façades: an overview,Wood Science and Technology,Review,ok,related_review,review,high,abstract,,,,review/secondary on facade topic — kept for intro/benchmark
