doi,doi_url
10.1145/2542266.2542282,https://doi.org/10.1145/2542266.2542282
10.1145/2493432.2494263,https://doi.org/10.1145/2493432.2494263
10.1145/2494091.2499224,https://doi.org/10.1145/2494091.2499224
10.1145/2070781.2024218,https://doi.org/10.1145/2070781.2024218
10.1145/2024156.2024218,https://doi.org/10.1145/2024156.2024218
10.1145/2037715.2037773,https://doi.org/10.1145/2037715.2037773
10.1145/1517664.1517671,https://doi.org/10.1145/1517664.1517671
10.1145/1520340.1520696,https://doi.org/10.1145/1520340.1520696
10.1145/1166253.1166301,https://doi.org/10.1145/1166253.1166301
10.1145/1166253.1166301,https://doi.org/10.1145/1166253.1166301
