doi,doi_url
10.1016/j.applthermaleng.2023.121032,https://doi.org/10.1016/j.applthermaleng.2023.121032
10.1016/j.conbuildmat.2023.132028,https://doi.org/10.1016/j.conbuildmat.2023.132028
10.1016/j.jobe.2023.106800,https://doi.org/10.1016/j.jobe.2023.106800
10.1016/j.foar.2023.02.005,https://doi.org/10.1016/j.foar.2023.02.005
10.1016/j.jobe.2023.106241,https://doi.org/10.1016/j.jobe.2023.106241
10.1016/j.jobe.2023.106118,https://doi.org/10.1016/j.jobe.2023.106118
10.1016/j.enbuild.2023.113056,https://doi.org/10.1016/j.enbuild.2023.113056
10.1016/j.jobe.2023.106101,https://doi.org/10.1016/j.jobe.2023.106101
10.1016/j.buildenv.2023.110339,https://doi.org/10.1016/j.buildenv.2023.110339
10.1016/j.seta.2023.103259,https://doi.org/10.1016/j.seta.2023.103259
10.1016/j.seta.2023.103124,https://doi.org/10.1016/j.seta.2023.103124
