doi,doi_url
10.1016/j.jobe.2023.105998,https://doi.org/10.1016/j.jobe.2023.105998
10.1016/j.buildenv.2023.110336,https://doi.org/10.1016/j.buildenv.2023.110336
10.1016/j.jobe.2023.106043,https://doi.org/10.1016/j.jobe.2023.106043
10.1016/j.solener.2023.03.042,https://doi.org/10.1016/j.solener.2023.03.042
10.1016/j.buildenv.2023.110195,https://doi.org/10.1016/j.buildenv.2023.110195
10.1016/j.enbuild.2023.112912,https://doi.org/10.1016/j.enbuild.2023.112912
10.1016/j.enbuild.2023.112928,https://doi.org/10.1016/j.enbuild.2023.112928
10.1016/j.enbuild.2023.112881,https://doi.org/10.1016/j.enbuild.2023.112881
10.1016/j.buildenv.2023.110153,https://doi.org/10.1016/j.buildenv.2023.110153
10.1016/j.jobe.2022.105712,https://doi.org/10.1016/j.jobe.2022.105712
10.1016/j.jobe.2022.105709,https://doi.org/10.1016/j.jobe.2022.105709
