doi,doi_url
10.1016/j.enbuild.2020.110589,https://doi.org/10.1016/j.enbuild.2020.110589
10.1016/B978-0-12-822477-9.00018-8,https://doi.org/10.1016/B978-0-12-822477-9.00018-8
10.1016/B978-0-12-822477-9.00007-3,https://doi.org/10.1016/B978-0-12-822477-9.00007-3
10.1016/j.jobe.2020.101554,https://doi.org/10.1016/j.jobe.2020.101554
10.1016/j.autcon.2020.103450,https://doi.org/10.1016/j.autcon.2020.103450
10.1016/j.buildenv.2020.107385,https://doi.org/10.1016/j.buildenv.2020.107385
10.1016/B978-0-12-822477-9.00019-X,https://doi.org/10.1016/B978-0-12-822477-9.00019-X
10.1016/B978-0-12-823767-0.00010-0,https://doi.org/10.1016/B978-0-12-823767-0.00010-0
10.1016/B978-0-12-822477-9.00022-X,https://doi.org/10.1016/B978-0-12-822477-9.00022-X
10.1016/B978-0-12-823764-9.00009-1,https://doi.org/10.1016/B978-0-12-823764-9.00009-1
10.1016/j.jclepro.2020.123343,https://doi.org/10.1016/j.jclepro.2020.123343
