doi,doi_url
10.1088/1757-899X/556/1/012042,https://doi.org/10.1088/1757-899X/556/1/012042
10.1088/1755-1315/296/1/012014,https://doi.org/10.1088/1755-1315/296/1/012014
10.1088/1755-1315/290/1/012100,https://doi.org/10.1088/1755-1315/290/1/012100
10.1088/1755-1315/290/1/012080,https://doi.org/10.1088/1755-1315/290/1/012080
10.1088/1755-1315/242/6/062061,https://doi.org/10.1088/1755-1315/242/6/062061
10.1088/1755-1315/238/1/012042,https://doi.org/10.1088/1755-1315/238/1/012042
10.1088/1757-899X/471/8/082047,https://doi.org/10.1088/1757-899X/471/8/082047
10.1088/1402-4896/aaecb5,https://doi.org/10.1088/1402-4896/aaecb5
10.1088/1757-899X/415/1/012054,https://doi.org/10.1088/1757-899X/415/1/012054
10.1088/1757-899X/362/1/012011,https://doi.org/10.1088/1757-899X/362/1/012011
