doi,doi_url
10.1088/1742-6596/3140/2/022009,https://doi.org/10.1088/1742-6596/3140/2/022009
10.1088/1742-6596/3071/1/012016,https://doi.org/10.1088/1742-6596/3071/1/012016
10.1088/1742-6596/3140/5/052003,https://doi.org/10.1088/1742-6596/3140/5/052003
10.1088/1742-6596/3140/19/082009,https://doi.org/10.1088/1742-6596/3140/19/082009
10.1088/1755-1315/1530/1/012008,https://doi.org/10.1088/1755-1315/1530/1/012008
10.1088/1755-1315/1568/1/012021,https://doi.org/10.1088/1755-1315/1568/1/012021
10.1088/1742-6596/3143/1/012055,https://doi.org/10.1088/1742-6596/3143/1/012055
10.1088/1755-1315/1530/1/012009,https://doi.org/10.1088/1755-1315/1530/1/012009
10.1088/1742-6596/3140/10/102004,https://doi.org/10.1088/1742-6596/3140/10/102004
10.1088/1755-1315/1556/1/012002,https://doi.org/10.1088/1755-1315/1556/1/012002
10.1088/1755-1315/1554/1/012026,https://doi.org/10.1088/1755-1315/1554/1/012026
