doi,doi_url
10.3390/buildings13030782,https://doi.org/10.3390/buildings13030782
10.3390/su15065284,https://doi.org/10.3390/su15065284
10.3390/coatings13030648,https://doi.org/10.3390/coatings13030648
10.3390/sym15020255,https://doi.org/10.3390/sym15020255
10.3390/su15032294,https://doi.org/10.3390/su15032294
10.3390/buildings13020534,https://doi.org/10.3390/buildings13020534
10.3390/en16020832,https://doi.org/10.3390/en16020832
10.3390/buildings12122089,https://doi.org/10.3390/buildings12122089
10.3390/buildings12122112,https://doi.org/10.3390/buildings12122112
10.3390/buildings12122236,https://doi.org/10.3390/buildings12122236
10.3390/su142315968,https://doi.org/10.3390/su142315968
