doi,doi_url
10.3390/architecture6010032,https://doi.org/10.3390/architecture6010032
10.3390/su18052467,https://doi.org/10.3390/su18052467
10.3390/su18052379,https://doi.org/10.3390/su18052379
10.3390/eng7030119,https://doi.org/10.3390/eng7030119
10.3390/app16031574,https://doi.org/10.3390/app16031574
10.3390/buildings16040798,https://doi.org/10.3390/buildings16040798
10.3390/buildings16040861,https://doi.org/10.3390/buildings16040861
10.3390/machines14020210,https://doi.org/10.3390/machines14020210
10.3390/buildings16040771,https://doi.org/10.3390/buildings16040771
10.3390/su18041860,https://doi.org/10.3390/su18041860
10.3390/buildings16020366,https://doi.org/10.3390/buildings16020366
