doi,doi_url
10.48619/ais.v6i1.1087,https://doi.org/10.48619/ais.v6i1.1087
10.52842/conf.caadria.2025.3.243,https://doi.org/10.52842/conf.caadria.2025.3.243
10.26868/25222708.2025.1749,https://doi.org/10.26868/25222708.2025.1749
10.55214/25768484.V9I1.4251,https://doi.org/10.55214/25768484.V9I1.4251
10.23968/2500-0055-2025-10-4-3-16,https://doi.org/10.23968/2500-0055-2025-10-4-3-16
10.37575/b/eng/250018,https://doi.org/10.37575/b/eng/250018
10.22616/ERDev.2025.24.TF275,https://doi.org/10.22616/ERDev.2025.24.TF275
10.52842/conf.ecaade.2025.1.421,https://doi.org/10.52842/conf.ecaade.2025.1.421
10.26868/25222708.2025.1848,https://doi.org/10.26868/25222708.2025.1848
10.12732/ijam.v38i1s.12,https://doi.org/10.12732/ijam.v38i1s.12
10.1108/SASBE-07-2025-0388,https://doi.org/10.1108/SASBE-07-2025-0388
