doi,doi_url
10.23967/membranes.2021.020,https://doi.org/10.23967/membranes.2021.020
10.7712/120121.8602.18826,https://doi.org/10.7712/120121.8602.18826
10.18848/2325-1662/CGP/V15I01/71-83,https://doi.org/10.18848/2325-1662/CGP/V15I01/71-83
10.52842/conf.caadria.2021.1.451,https://doi.org/10.52842/conf.caadria.2021.1.451
10.23967/wccm-eccomas.2020.097,https://doi.org/10.23967/wccm-eccomas.2020.097
10.46754/JSSM.2021.06.011,https://doi.org/10.46754/JSSM.2021.06.011
10.2478/rtuect-2021-0033,https://doi.org/10.2478/rtuect-2021-0033
10.14455/ISEC.2021.8(1).STR-12,https://doi.org/10.14455/ISEC.2021.8(1).STR-12
10.24154/jhs.v16i2.986,https://doi.org/10.24154/jhs.v16i2.986
10.1515/cls-2021-0013,https://doi.org/10.1515/cls-2021-0013
10.33586/hya.2019.2882,https://doi.org/10.33586/hya.2019.2882
