doi,doi_url
10.1117/12.2022026,https://doi.org/10.1117/12.2022026
10.1201/b15320-75,https://doi.org/10.1201/b15320-75
10.1093/ijlct/ctt015,https://doi.org/10.1093/ijlct/ctt015
10.1201/b15267-165,https://doi.org/10.1201/b15267-165
10.1260/1478-0771.11.2.183,https://doi.org/10.1260/1478-0771.11.2.183
10.1260/0266-3511.28.2.101,https://doi.org/10.1260/0266-3511.28.2.101
10.5555/2500004.2500006,https://doi.org/10.5555/2500004.2500006
10.5555/2500004.2500022,https://doi.org/10.5555/2500004.2500022
10.5555/2500004.2500018,https://doi.org/10.5555/2500004.2500018
10.52842/conf.caadria.2013.945,https://doi.org/10.52842/conf.caadria.2013.945
