doi,doi_url
10.1007/978-981-97-5415-1_18,https://doi.org/10.1007/978-981-97-5415-1_18
10.1007/s12273-023-1073-6,https://doi.org/10.1007/s12273-023-1073-6
10.1007/s44242-023-00025-3,https://doi.org/10.1007/s44242-023-00025-3
10.1007/s12273-023-1052-y,https://doi.org/10.1007/s12273-023-1052-y
10.1007/s12273-023-1009-1,https://doi.org/10.1007/s12273-023-1009-1
10.1007/s12273-023-0993-5,https://doi.org/10.1007/s12273-023-0993-5
10.1007/s44150-023-00091-y,https://doi.org/10.1007/s44150-023-00091-y
10.1007/s00226-023-01464-8,https://doi.org/10.1007/s00226-023-01464-8
10.1007/978-981-19-8637-6_36,https://doi.org/10.1007/978-981-19-8637-6_36
10.1007/978-981-19-3303-5_3,https://doi.org/10.1007/978-981-19-3303-5_3
10.1007/978-3-031-21219-2_343,https://doi.org/10.1007/978-3-031-21219-2_343
