doi,doi_url
10.1007/978-3-642-39578-9_3,https://doi.org/10.1007/978-3-642-39578-9_3
10.1007/978-3-642-40840-3_2,https://doi.org/10.1007/978-3-642-40840-3_2
10.1007/978-3-642-40840-3_31,https://doi.org/10.1007/978-3-642-40840-3_31
10.1007/978-3-642-32609-7_17,https://doi.org/10.1007/978-3-642-32609-7_17
10.1007/978-94-007-0425-1_1,https://doi.org/10.1007/978-94-007-0425-1_1
10.1007/s12273-008-8126-8,https://doi.org/10.1007/s12273-008-8126-8
10.1007/978-1-4020-6528-6_34,https://doi.org/10.1007/978-1-4020-6528-6_34
10.1007/BF02302333,https://doi.org/10.1007/BF02302333
10.1007/BF01815304,https://doi.org/10.1007/BF01815304
10.1007/BF00642581,https://doi.org/10.1007/BF00642581
