doi,doi_url
10.1007/s40940-020-00126-6,https://doi.org/10.1007/s40940-020-00126-6
10.1007/s12273-019-0562-0,https://doi.org/10.1007/s12273-019-0562-0
10.1007/978-3-030-20151-7_37,https://doi.org/10.1007/978-3-030-20151-7_37
10.1007/978-3-030-33570-0_19,https://doi.org/10.1007/978-3-030-33570-0_19
10.1007/978-3-030-47016-6_3,https://doi.org/10.1007/978-3-030-47016-6_3
10.1007/978-3-030-29041-2_35,https://doi.org/10.1007/978-3-030-29041-2_35
10.1007/978-3-030-17308-1_41,https://doi.org/10.1007/978-3-030-17308-1_41
10.1007/s40940-018-0088-3,https://doi.org/10.1007/s40940-018-0088-3
10.1007/s00040-018-0671-2,https://doi.org/10.1007/s00040-018-0671-2
10.1007/978-981-13-8410-3_26,https://doi.org/10.1007/978-981-13-8410-3_26
