doi,doi_url
10.1007/978-3-030-03676-8_26,https://doi.org/10.1007/978-3-030-03676-8_26
10.1007/978-981-13-3305-7_186,https://doi.org/10.1007/978-981-13-3305-7_186
10.1007/s12273-018-0433-0,https://doi.org/10.1007/s12273-018-0433-0
10.1007/978-3-319-79099-2_18,https://doi.org/10.1007/978-3-319-79099-2_18
10.1007/s12273-017-0406-8,https://doi.org/10.1007/s12273-017-0406-8
10.1007/s00004-017-0365-5,https://doi.org/10.1007/s00004-017-0365-5
10.1007/s40518-018-0103-y,https://doi.org/10.1007/s40518-018-0103-y
10.1007/s12273-017-0380-1,https://doi.org/10.1007/s12273-017-0380-1
10.1007/978-3-319-60919-5_10,https://doi.org/10.1007/978-3-319-60919-5_10
10.1007/s12273-016-0327-y,https://doi.org/10.1007/s12273-016-0327-y
