"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Hwang K.-J.; Kim G.-C.; Kim Y.-S.","Hwang, Kyung-Ju (56086318400); Kim, Gee-Cheol (36806134600); Kim, Yu-Seong (58421303900)","56086318400; 36806134600; 58421303900","Wind pressure analysis of movable shading by using cfd","2019","Proceedings of the Annual International Conference on Architecture and Civil Engineering","","","","500","504","0","10.5176/2301-394X_ACE19.526","https://www.scopus.com/pages/publications/85069169883?origin=resultslist","Dept. Architecture University of Seoul, Seoul, South Korea; Dept. Architecture Seoil University, Seoul, South Korea; Dept. Architecture Yeungnam University, Gyeongsan, South Korea","Hwang K.-J., Dept. Architecture University of Seoul, Seoul, South Korea; Kim G.-C., Dept. Architecture Seoil University, Seoul, South Korea; Kim Y.-S., Dept. Architecture Yeungnam University, Gyeongsan, South Korea","— Most of the variable shading devices are installed outdoors, so they are greatly affected by structural safety due to external climate change, wind, rain, and snow. Especially, due to strong wind such as typhoons, safety problems may occur due to the dropout of the device. Therefore, it is necessary to analyze the wind pressure of shading device to evaluate the structural safety of the movable shading device. In this study, we analyze the wind pressure applied to the shading material according to the change of the length of the variable shading device, and apply it to the calculation of the wind load for the structural design of the variable shading device. The CFD (Computational Fluid Dynamic) analysis is used to analyze wind pressure magnitude and distribution. From the above results, it should be recognized that the higher wind pressure acts on the edge than the center part of the building and the higher wind pressure acts in the higher stories than the lower stories. Especially, it should be considering the negative pressure pulling the awning membrane outward in the shading system design.","CFD; Numerical stimulation; Structural safety; Wind pressure; —Movable shading","","Ministry of Trade, Industry and Energy, MOTIE, (20172020109130); Korea Institute of Energy Technology Evaluation and Planning, KETEP","This work was supported by the Korea Institute of Energy Technology Evaluation and Planning (KETEP) grant funded by the Korea government(MOTIE) (20172020109130, Development of kinetic shading system for occupants comfort and energy saving)","","Anderson M.S.T.; Anderson P.C.O.","Global Science and Technology Forum","2301394X","","","","English","Proc. Annu. Int. Conf. Archit. Civ. Eng.","Conference paper","Final","","Scopus","2-s2.0-85069169883"
"O'Brien W.; Kapsis K.; Athienitis A.K.","O'Brien, William (57212926253); Kapsis, Konstantinos (36523106000); Athienitis, Andreas K. (7003723013)","57212926253; 36523106000; 7003723013","Manually-operated window shade patterns in office buildings: A critical review","2013","Building and Environment","60","","","319","338","233","10.1016/j.buildenv.2012.10.003","https://www.scopus.com/pages/publications/84872398016?origin=resultslist","Department of Civil and Environmental Engineering, Carleton University, Ottawa, ON K1S 5B6, 3432 Mackenzie Building, 1125 Colonel By Drive, Canada; Department of Building Civil and Environmental Engineering, Concordia University, Montreal, QC H3G 1M8, 1455 de Maisonneuve Blvd. W., EV6. 139, Canada","O'Brien W., Department of Civil and Environmental Engineering, Carleton University, Ottawa, ON K1S 5B6, 3432 Mackenzie Building, 1125 Colonel By Drive, Canada; Kapsis K., Department of Building Civil and Environmental Engineering, Concordia University, Montreal, QC H3G 1M8, 1455 de Maisonneuve Blvd. W., EV6. 139, Canada; Athienitis A.K., Department of Building Civil and Environmental Engineering, Concordia University, Montreal, QC H3G 1M8, 1455 de Maisonneuve Blvd. W., EV6. 139, Canada","Despite the significant impact that the position of movable shading devices has on building energy use, peak loads, and visual and thermal comfort, there is a high degree of uncertainty associated with how building occupants actually operate their shades. As a result, unrealistic modeling assumptions in building performance simulation or other design methods may lead to sub-optimal building designs and overestimation or underestimation of cooling loads. In the past 35 years, researchers have published observational studies in order to identify the factors that motivate building occupants to operate shading devices. However, the diversity of the study conditions makes it is difficult to draw universal conclusions that link all contributing factors to shade movement actions. This paper provides a comprehensive and critical review of experimental and study methodologies for manual shade operation in office buildings, their results, and their application to building design and controls. The majority of the many cited factors in office buildings can be categorized into those affecting visual comfort, thermal comfort, privacy, and views. Most office occupants do not operate their shades more than weekly or monthly and they do so based on long-term solar radiation intensity and solar geometry trends rather than reacting to short-term events. They generally operate them to improve visual conditions rather than thermal conditions. Occupants in offices with automatically-controlled heating and cooling tend to be less diligent about using shading devices to improve their comfort. © 2012 Elsevier Ltd.","Advanced façade design; Energy use; Occupant behavior; Thermal comfort; Visual comfort; Window shades","Architectural design; Office buildings; Sun; Thermal comfort; Building design; Building energy; Contributing factor; Cooling load; Critical review; Degree of uncertainty; Design method; Energy use; In-buildings; Observational study; Occupant behavior; Peak load; Shading devices; Significant impacts; Solar geometry; Solar radiation intensity; Thermal condition; Visual comfort; Visual condition; architectural design; building; computer simulation; cool water; energy use; geometry; heating; office location; Structural design","Natural Sciences and Engineering Research Council of Canada, NSERC","The authors wish to thank the Natural Sciences and Engineering Research Council of Canada (NSERC) for their funding via the Solar Buildings Research Network.  ","W. O'Brien; Department of Civil and Environmental Engineering, Carleton University, Ottawa, ON K1S 5B6, 3432 Mackenzie Building, 1125 Colonel By Drive, Canada; email: liam_obrien@carleton.ca","","","03601323","","BUEND","","English","Build. Environ.","Review","Final","","Scopus","2-s2.0-84872398016"
"Vermisso E.; Thitisawat M.; Feldsberg M.","Vermisso, E. (16044532800); Thitisawat, M. (6505569872); Feldsberg, M. (55791926600)","16044532800; 6505569872; 55791926600","An irregular discretization process for climate-responsive façades","2013","Green Design, Materials and Manufacturing Processes - Proceedings of the 2nd International Conference on Sustainable Intelligent Manufacturing, SIM 2013","","","","489","493","0","10.1201/b15002-95","https://www.scopus.com/pages/publications/84880083431?origin=resultslist","Florida Atlantic University, Fort Lauderdale, United States","Vermisso E., Florida Atlantic University, Fort Lauderdale, United States; Thitisawat M., Florida Atlantic University, Fort Lauderdale, United States; Feldsberg M., Florida Atlantic University, Fort Lauderdale, United States","The project focuses on developing façade assemblies - which may include moving or static components - that are inherently responsive to climate (i.e. sunlight and daylight). The design constraints encourage ""synthetic"" workflows that combine various software and hardware interfaces to reach optimized solutions for building components that reduce heat gain in South Florida and promote daylight utilization. The paper discusses regular as well as non-homogeneous geometries (voronoi) to create light apertures of variable scale and density on a façade surface. The authors would like to assess the work with regards to both performance and process, evaluating the tools and identifying shortcomings in the parametric/simulation workflow dynamics. © 2013 Taylor & Francis Group.","","Materials properties; Design constraints; Discretization process; Heat gains; Non-homogeneous; Optimized solutions; Software and hardwares; South Florida; Work-flows; Manufacture","","","","","Taylor and Francis - Balkema","","978-113800046-9","","","English","Green Des., Mater. Manuf. Proces. - Proc. Int. Conf. Sustainable Intelligent Manuf., SIM","Conference paper","Final","","Scopus","2-s2.0-84880083431"
"Cheung M.T.; Yeung D.W.K.","Cheung, Michael Tow (7201897422); Yeung, David W.K. (55944647600)","7201897422; 55944647600","Completing the ""One line proof"" of the dynamic envelope theorem","1993","Atlantic Economic Journal","21","4","","82","83","0","10.1007/BF02302333","https://www.scopus.com/pages/publications/34250074213?origin=resultslist","University of Hong Kong, Hong Kong","Cheung M.T., University of Hong Kong, Hong Kong; Yeung D.W.K., University of Hong Kong, Hong Kong","[No abstract available]","","","","","","","Kluwer Academic Publishers","01974254","","","","English","Atl. Econ. J.","Article","Final","","Scopus","2-s2.0-34250074213"
"Carbonari A.; Fioretti R.; Naticchia B.; Principi P.","Carbonari, A. (56251095700); Fioretti, R. (35755204800); Naticchia, B. (16234313200); Principi, P. (6602996117)","56251095700; 35755204800; 16234313200; 6602996117","Experimental estimation of the solar properties of a switchable liquid shading system for glazed facades","2012","Energy and Buildings","45","","","299","310","26","10.1016/j.enbuild.2011.11.022","https://www.scopus.com/pages/publications/84855243888?origin=resultslist","Department of Civil, Building Engineering and Architecture - Building Construction Research Team, Universit Politecnica Delle Marche, 60131 Ancona, via Brecce Bianche, Italy; Department of Industrial Engineering and Mathematical Sciences, Faculty of Engineering, Universit Politecnica Delle Marche, 60131 Ancona, via Brecce Bianche, Italy","Carbonari A., Department of Civil, Building Engineering and Architecture - Building Construction Research Team, Universit Politecnica Delle Marche, 60131 Ancona, via Brecce Bianche, Italy; Fioretti R., Department of Industrial Engineering and Mathematical Sciences, Faculty of Engineering, Universit Politecnica Delle Marche, 60131 Ancona, via Brecce Bianche, Italy; Naticchia B., Department of Civil, Building Engineering and Architecture - Building Construction Research Team, Universit Politecnica Delle Marche, 60131 Ancona, via Brecce Bianche, Italy; Principi P., Department of Industrial Engineering and Mathematical Sciences, Faculty of Engineering, Universit Politecnica Delle Marche, 60131 Ancona, via Brecce Bianche, Italy","As solar gains often constitute a high fraction of the overall cooling and heating loads in buildings, dynamically and adaptively controlled fenestration may be an important strategy for energy efficient buildings. The higher the variability in climatic conditions over the seasons, the longer is the list of benefits deriving from the adoption of this type of technology. This paper reports the experimental evaluation performed on a dynamic shading system based on a liquid layer sliding within a dedicated glass stratification. The advantages connected with the adoption of the described technology derive from its easy adaptability to almost every fenestration, its reversible switching between high and low solar transmittance configurations in a short time and its capability to maintain transparency in both operating modes. The summer outdoor experimental campaign, reported in this paper, allowed the solar factor of the liquid-shaded stratification to be estimated and compared with a reference low-emission double stratification, where one of the panes was treated with a magnetronic coating. The results showed not only that the shading provided by the dynamic liquid layer is more effective than its benchmark, but also that its dynamic capabilities have been preserved after a summer-long exposure to solar radiation. © 2011 Elsevier B.V.","Dynamic solar shielding; Energy efficiency; Liquid-shaded window; Outdoor trials; Solar factor; Test cells","Energy efficiency; Solar energy; Sun; Climatic conditions; Dynamic capabilities; Energy efficient building; Experimental campaign; Experimental evaluation; Heating load; In-buildings; Liquid layer; Operating modes; Outdoor trials; Reversible switching; Shading systems; Solar factor; Solar gain; Solar transmittance; Switchable; Test cell; Type of technology; Liquids","","","A. Carbonari; Department of Civil, Building Engineering and Architecture - Building Construction Research Team, Universit Politecnica Delle Marche, 60131 Ancona, via Brecce Bianche, Italy; email: alessandro.carbonari@univpm.it","","","03787788","","ENEBD","","English","Energy Build.","Article","Final","","Scopus","2-s2.0-84855243888"
"Schultz A.M.; McMillin J.A.; Balmer J.A.","Schultz, Alice M. (57191976089); McMillin, John A. (57204562490); Balmer, James A. (50861118800)","57191976089; 57204562490; 50861118800","Kinetic architecture of extensible work platforms for rocket assembly","2018","2018 AIAA SPACE and Astronautics Forum and Exposition","","","5135","","","0","10.2514/6.2018-5135","https://www.scopus.com/pages/publications/85056173627?origin=resultslist","RS&H Inc., Merritt Island, 32953, FL, United States; Rockledge, 32955, FL, United States; Launch Facilities & Equipment (LF&E), RS&H Inc., Merritt Island, 32953, FL, United States","Schultz A.M., Launch Facilities & Equipment (LF&E), RS&H Inc., Merritt Island, 32953, FL, United States; McMillin J.A., RS&H Inc., Merritt Island, 32953, FL, United States; Balmer J.A., Rockledge, 32955, FL, United States","This paper reviews the engineering of extensible work platforms located at the NASA Kennedy Space Center and the challenges and considerations applicable to design solutions for launch vehicles using kinetic architecture. The project, constructed for the Space Launch Services Block 1 vehicle, is the first known of its kind. The features and lessons discussed herein are applicable for other, future launch vehicle assembly facilities. © 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.","","Launch vehicles; NASA; Rockets; Design solutions; Kinetic architectures; NASA Kennedy Space Center; Space launch; Vehicle assembly; Space platforms","National Aeronautics and Space Administration, NASA","RS&H would like to thank the NASA Kennedy Space Center Ground Systems Development & Operations (GSDO) and engineering teams. Alice Schultz and John McMillin would like to thank RS&H for their sponsorship and financial support in preparing and completing this paper.","","","American Institute of Aeronautics and Astronautics Inc, AIAA","","978-162410575-3","","","English","Astronaut. Forum Expos.","Conference paper","Final","","Scopus","2-s2.0-85056173627"
"Jonatan S.A.; Alkadri M.F.","Jonatan, Stefanie Aylien (59419312200); Alkadri, Miktha Farid (57195296334)","59419312200; 57195296334","Preliminary Energy Simulations of Smart Materials on Building Facade: A hypothetical case study to determined energy performance of smart materials","2024","Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe","1","","","273","282","0","10.52842/conf.ecaade.2024.1.273","https://www.scopus.com/pages/publications/85209784237?origin=resultslist","Research cluster of Architectural Science and Building Technology (ASBT), Department of Architecture, Universitas Indonesia, Indonesia","Jonatan S.A., Research cluster of Architectural Science and Building Technology (ASBT), Department of Architecture, Universitas Indonesia, Indonesia; Alkadri M.F., Research cluster of Architectural Science and Building Technology (ASBT), Department of Architecture, Universitas Indonesia, Indonesia","As the earth’s surface temperature rises, maintaining comfortable indoor temperatures without increasing the energy consumption of cooling systems is necessary. One climate change mitigation that may provide great relevance to this issue is to use adaptive facades as they can provide flexible energy flows in response to dynamic external conditions. Among adaptive facades strategies, smart materials show great potential to respond intelligently to the surrounding environment through changes in material properties. In this regard, smart materials require little to no additional active system because of changes made internally by the material. This paper aims to investigate potential applications of smart materials in building facades by first analyzing the energy performance of 9 smart materials (i.e., low-e glass, nePCM, PCM filled, paraffin MG29, PV Vacuum glazing, semitransparent PV A, semitransparent PV B, insulated DSSC-R, DSSCG) found in adaptive facades. This study then specifically calculates EUI (energy use intensity), cooling load, and average solar heat gain for existing buildings located in Jakarta. Lastly, two smart materials (i.e., PV and PCM) are selected to compare building façade construction proposals based on their transmissivity, maximum solar heat gain, and conductivity. Despite the potential application of smart materials, this study found that PV and PCM provide lower performance values due to energy demand functions that predominantly focus on generation rather than contributing to heating and cooling aspects. This study can further benefit architects when dealing with façade construction materials, especially in tropical countries. It needs to be aligned with the energy performance produced by the façade, the surrounding environment, and the local context. © 2024, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.","Adaptive Facade; Energy Performance; Smart Materials","","Direktorat Riset and Pengembangan, Universitas Indonesia, DRPM UI, (RST/HKP.05.00/2023); Direktorat Riset and Pengembangan, Universitas Indonesia, DRPM UI","This research is funded by Directorate of Research and Development, Universitas Indonesia under Hibah PUTI 2023 (Grant No. NKB- 527/UN2.RST/HKP.05.00/2023).","","Kontovourkis O.; Phocas M.C.; Wurzer G.","Education and research in Computer Aided Architectural Design in Europe","26841843","978-949120737-2","","","English","Proc. Int. Conf. Educ. Res. Comput. Aided. Archit. Des. Eur.","Conference paper","Final","","Scopus","2-s2.0-85209784237"
"Tiwari G.N.; Upadhyay M.; Rai S.N.","Tiwari, G.N. (55450482500); Upadhyay, M. (7003464258); Rai, S.N. (7202655591)","55450482500; 7003464258; 7202655591","A comparison of passive cooling techniques","1994","Building and Environment","29","1","","21","31","23","10.1016/0360-1323(94)90049-3","https://www.scopus.com/pages/publications/0028175578?origin=resultslist","Centre for Energy Studies, Indian Institute of Technology Delhi, New Delhi, 110016, Hauz Khas, India","Tiwari G.N., Centre for Energy Studies, Indian Institute of Technology Delhi, New Delhi, 110016, Hauz Khas, India; Upadhyay M., Centre for Energy Studies, Indian Institute of Technology Delhi, New Delhi, 110016, Hauz Khas, India; Rai S.N., Centre for Energy Studies, Indian Institute of Technology Delhi, New Delhi, 110016, Hauz Khas, India","A comparison of passive cooling techniques of a non-airconditioned apartment for Delhi climate condition has been presented. The various cooling techniques namely, evaporative cooling, movable canvas, roof gardens, shading effect and air cavity in walls etc. have been incorporated in the thermal analysis. Numerical computations were carried out for Delhi climatic conditions and it is inferred that 1. (i) the evaporative cooling is the best option to reduce the incoming heat flux through the roof if the water is easily available, and 2. (ii) the air cavity also reduces the incoming flux entering through walls. © 1993.","","Buildings; Climate; Cooling Systems; Delhi; Evaporation; Passive; Climate control; Evaporative cooling systems; Mathematical models; Roofs; Temperature control; Thermoanalysis; Walls (structural partitions); Air cavities; Movable canvas; New Delhi, India; Passive cooling; Roof gardens; Shading effect; Apartment houses","","","","","","03601323","","BUEND","","English","Build. Environ.","Article","Final","","Scopus","2-s2.0-0028175578"
"Imani N.; Vale B.","Imani, Negin (57218558166); Vale, Brenda (55907707900)","57218558166; 55907707900","Biomimetic architecture: exploring adaptive facades inspired by nature","2024","Intelligent Buildings and Infrastructure with Sustainable and Social Values: Third edition","","","","81","94","0","10.1108/978-1-83549-818-720243007","https://www.scopus.com/pages/publications/105018429412?origin=resultslist","Centre for Sustainability, University of Otago, Dunedin, New Zealand; Open Polytechnic, Wellington, New Zealand; Wellington School of Architecture, Victoria University, Wellington, New Zealand","Imani N., Centre for Sustainability, University of Otago, Dunedin, New Zealand, Open Polytechnic, Wellington, New Zealand; Vale B., Wellington School of Architecture, Victoria University, Wellington, New Zealand","This chapter discusses the importance of biomimetics in the built environment and presents a brief history of the field. Biomimetics, or biologically inspired design, involves using nature as a model for developing sustainable and innovative solutions to human problems. The paper highlights the potential benefits of biomimetic design, including increased energy efficiency. It also introduces a systematic approach to designing biomimetic buildings, which involves identifying problems, researching relevant biological systems, and translating biological principles to building design principles. The chapter then focuses on one example of biomimetic design: the development of adaptive building facades (ABFs) that mimic the ability of biological systems to regulate temperature, light, and water content. An in-depth investigation of stomata, the small pores on plant leaves that help regulate heat exchange and conserve water, is presented as a biological thermal adaptation mechanism that has inspired the design of ABFs. Finally, the chapter discusses future approaches to Bio-ABF development, including the integration of new materials and technologies and continued research into biological thermal adaptation mechanisms. Overall, the emphasis is on the importance of biomimetic design in creating sustainable and innovative solutions for the built environment. © Emerald Publishing Limited 2024. All rights reserved.","","Biological materials; Biological systems; Biomimetic materials; Biomimetic processes; Energy efficiency; Plants (botany); Structural design; Adaptation mechanism; Biologically inspired design; Biomimetic design; Building facades; Built environment; Energy; Innovative solutions; Potential benefits; Sustainable solution; Thermal adaptation; Architectural design","","","","","Emerald Publishing","","978-183549818-7; 978-183549819-4","","","English","Intell. Build. and Infrastruct. with Sustain. and Soc.: Third ed.","Book chapter","Final","","Scopus","2-s2.0-105018429412"
"Chen J.","Chen, Jingwen (59419484200)","59419484200","Cast Adaptive/Kinetic Façades The application of sand casting on manufacturing the adaptive/kinetic facades","2024","Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe","1","","","431","438","0","10.52842/conf.ecaade.2024.1.431","https://www.scopus.com/pages/publications/85209815164?origin=resultslist","The Bartlett, UCL, United Kingdom","Chen J., The Bartlett, UCL, United Kingdom","The escalatingfocus on sustainability across diverse domains has instigated multifaceted strategies to achieve this objective, encompassing modifications in resource utilization and the incorporation ofrenewable energy sources alongside recyclable materials. In the realm ofarchitecture, thefaçade serves not only as an aestheticfeature but also as a regulator ofboth interior and exterior environments, with kineticfacades emerging as a dynamic solution. Unlike the dynamic external conditions and active building occupants, architecture, as a whole, remains relatively statiomry.As integral components of architectural design, kineticfacades arepurposefulfy engineered to actively and dynamically modulate external environmental conditions to align wïth occupant requirements. Thispaper delves into the specific realm ofcast kineticjoints within the broader context ofkineticfacades in architecture. As sustainability gainsprominence, the studyfocuses on the manufacturingprocesses of these crucial components, narrowing its scope to the use of sand casting. With its rich historical legacy and inherent adaptability, this technique emerges as afocalpointfor crafting kineticjoints. The analysis delves into crucial considerations, including design intricacies, scale dynamics, and material selections, emphasising thepotential ofsand casting as a sustainable methodfor manufacturing these dynamic and active architectural elements. Through a meticulous examination ofthe intricacies associated with kinetic joints, this study aims toprovide targeted insights into the viability of sand casting, therebyproviding a refined exploration ofits role in advancing sustainability within the realm ofkineticfacades. © 2024, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.","Adaptive/Kinetic Façade; Sand casting; Sustainability","","","","J. Chen; The Bartlett, UCL, United Kingdom; email: jingwen.chen.20@ucl.ac.uk","Kontovourkis O.; Phocas M.C.; Wurzer G.","Education and research in Computer Aided Architectural Design in Europe","26841843","978-949120737-2","","","English","Proc. Int. Conf. Educ. Res. Comput. Aided. Archit. Des. Eur.","Conference paper","Final","","Scopus","2-s2.0-85209815164"
