eid,doi,doi_url,title,source
2-s2.0-105012357418,10.1145/3734921.3734943,https://doi.org/10.1145/3734921.3734943,Research on Enhancing the Generalization Ability of Generative AI Based on K-means Clustering Algorithm: Text-to-Image Task for Wind-Responsive Passive Building Facade,Proceedings of 2025 International Conference on Generative Artificial Intelligence and Digital Media Gadm 2025
2-s2.0-105005752559,10.1145/3706598.3714064,https://doi.org/10.1145/3706598.3714064,Manifesting Architectural Subspaces with Two Mobile Robotic Partitions to Facilitate Spontaneous Office Meetings,Conference on Human Factors in Computing Systems Proceedings
2-s2.0-85217211102,10.1145/3680528.3687657,https://doi.org/10.1145/3680528.3687657,FaçAID: A Transformer Model for Neuro-Symbolic Facade Reconstruction,Proceedings SIGGRAPH Asia 2024 Conference Papers SA 2024
2-s2.0-85194848236,10.1145/3613904.3642465,https://doi.org/10.1145/3613904.3642465,The Adaptive Architectural Layout: How the Control of a Semi-Autonomous Mobile Robotic Partition was Shared to Mediate the Environmental Demands and Resources of an Open-Plan Ofice,Conference on Human Factors in Computing Systems Proceedings
2-s2.0-85146368808,10.1145/3555568,https://doi.org/10.1145/3555568,Towards Responsive Architecture that Mediates Place: Recommendations on How and When an Autonomously Moving RoboticWall Should Adapt a Spatial Layout,Proceedings of the ACM on Human Computer Interaction
2-s2.0-85077305362,10.1145/3363459.3363538,https://doi.org/10.1145/3363459.3363538,"Advanced daylight admission systems using auxetic structures in Florida, USA",Urbsys 2019 Proceedings of the 1st ACM International Workshop on Urban Building Energy Sensing Controls Big Data Analysis and Visualization Part of Buildsys 2019
2-s2.0-85050452741,10.1145/3137133.3141442,https://doi.org/10.1145/3137133.3141442,Poster: An energy-harvesting facade optimization system for built environments,Buildsys 2017 Proceedings of the 4th ACM International Conference on Systems for Energy Efficient Built Environments
2-s2.0-85018592600,10.1145/3024969.3024981,https://doi.org/10.1145/3024969.3024981,Interactive architecture: Exploring and unwrapping the potentials of organic user interfaces,Tei 2017 Proceedings of the 11th International Conference on Tangible Embedded and Embodied Interaction
2-s2.0-84904497008,10.1145/2611009.2611036,https://doi.org/10.1145/2611009.2611036,Smart citizen sentiment dashboard: A case study into media architectural interfaces,Perdis 2014 Proceedings 3rd ACM International Symposium on Pervasive Displays 2014
2-s2.0-84900562357,10.1145/2559206.2581286,https://doi.org/10.1145/2559206.2581286,Whirlstools: Kinetic furniture with adaptive affordance,Conference on Human Factors in Computing Systems Proceedings
2-s2.0-84890952775,10.1145/2542266.2542282,https://doi.org/10.1145/2542266.2542282,Computing with matter,SIGGRAPH Asia 2013 Courses SA 2013
2-s2.0-84885225206,10.1145/2493432.2494263,https://doi.org/10.1145/2493432.2494263,Lumina: A soft kinetic material for morphing architectural skins and organic user interfaces,Ubicomp 2013 Proceedings of the 2013 ACM International Joint Conference on Pervasive and Ubiquitous Computing
2-s2.0-84885224603,10.1145/2494091.2499224,https://doi.org/10.1145/2494091.2499224,EmoTicSpace: When the built environments get emotional,Ubicomp 2013 Adjunct Adjunct Publication of the 2013 ACM Conference on Ubiquitous Computing
2-s2.0-85024275352,10.1145/2070781.2024218,https://doi.org/10.1145/2070781.2024218,Adaptive Partitioning of Urban Facades,ACM Transactions on Graphics
2-s2.0-84855426634,10.1145/2024156.2024218,https://doi.org/10.1145/2024156.2024218,Adaptive partitioning of urban facades,Proceedings of the 2011 SIGGRAPH Asia Conference SA 11
2-s2.0-80054808693,10.1145/2037715.2037773,https://doi.org/10.1145/2037715.2037773,Second skin: Motion capture with actuated feedback for motor learning,ACM SIGGRAPH 2011 Posters SIGGRAPH 11
2-s2.0-70349136564,10.1145/1517664.1517671,https://doi.org/10.1145/1517664.1517671,Shutters: A permeable surface for environmental control and communication,Proceedings of the 3rd International Conference on Tangible and Embedded Interaction Tei 09
2-s2.0-70349189141,10.1145/1520340.1520696,https://doi.org/10.1145/1520340.1520696,Second Skin: Motion capture with actuated feedback for motor learning,Conference on Human Factors in Computing Systems Proceedings
2-s2.0-57749111641,10.1145/1166253.1166301,https://doi.org/10.1145/1166253.1166301,User interface façades: Towards fully adaptable user interfaces,UIST 2006 Proceedings of the 19th Annual ACM Symposium on User Interface Software and Technology
2-s2.0-34547333417,10.1145/1166253.1166301,https://doi.org/10.1145/1166253.1166301,User interface façades: Towards fully adaptable user interfaces,UIST Proceedings of the Annual ACM Symposium on User Interface Softaware and Technology
