eid,doi,doi_url,title,source
2-s2.0-105036579469,10.1061/JAEIED.AEENG-2247,https://doi.org/10.1061/JAEIED.AEENG-2247,Optimizing Ventilation and Temperature Reduction in Administrative Buildings Using Kinetic Facade Systems: A Response Surface Methodology Approach,Journal of Architectural Engineering
2-s2.0-85212415840,10.1061/JAEIED.AEENG-1705,https://doi.org/10.1061/JAEIED.AEENG-1705,Utilizing Kinematic Models of Kinetic Facades to Obtain Optimal Natural Lighting in an Office Building,Journal of Architectural Engineering
2-s2.0-105024071458,10.1061/9780784486627.030,https://doi.org/10.1061/9780784486627.030,Data-Driven Decision-Making Suppors Smart and Efficient Building Energy Retrofit for Meizhou Pantian Chaoke Cultural and Rural Buildings,Iccrem 2025 Decarbonization and Digitalization of the Built Environment Shaping Resilience in A Changing World Proceedings of the International Conference on Construction and Real Estate Management 2025
2-s2.0-85201048940,10.1061/JAEIED.AEENG-1784,https://doi.org/10.1061/JAEIED.AEENG-1784,Smart Building Skins for Urban Heat Island Mitigation: A Review,Journal of Architectural Engineering
2-s2.0-85203595360,10.1061/JAEIED.AEENG-1725,https://doi.org/10.1061/JAEIED.AEENG-1725,Wind-Induced Dynamic Behavior of Single-Skin Curtain-Wall System: A Comparative Numerical Study,Journal of Architectural Engineering
2-s2.0-85205445635,10.1061/JAEIED.AEENG-1775,https://doi.org/10.1061/JAEIED.AEENG-1775,Optimization Method for the Deployment Route of Generalized Scissor Linkages,Journal of Architectural Engineering
2-s2.0-85188660981,10.1061/9780784485279.034,https://doi.org/10.1061/9780784485279.034,An Experimental Framework to Measure Dynamic Thermal Resilience of Wall Panels under Extreme Weather Conditions,Construction Research Congress 2024 CRC 2024
2-s2.0-85170518530,10.1061/JAEIED.AEENG-1646,https://doi.org/10.1061/JAEIED.AEENG-1646,Kinetic Shades: Designing a Shape-Morphing Device with Bistable Laminates and Shape Memory Actuators,Journal of Architectural Engineering
2-s2.0-85172238485,10.1061/JSENDH.STENG-12546,https://doi.org/10.1061/JSENDH.STENG-12546,Engineering Review of Wind-Induced Torsional Moment and Response of Buildings,Journal of Structural Engineering United States
2-s2.0-85135907483,10.1061/(ASCE)AE.1943-5568.0000559,https://doi.org/10.1061/(ASCE)AE.1943-5568.0000559,Performance Optimization of Building Facade Floodlighting under Dynamic Sky Luminance,Journal of Architectural Engineering
2-s2.0-85125576128,10.1061/(ASCE)AE.1943-5568.0000533,https://doi.org/10.1061/(ASCE)AE.1943-5568.0000533,Visual Discomfort Analysis as a Tool to Support Façade Shading Design: A Case Study in the Architectural Design Studio,Journal of Architectural Engineering
2-s2.0-85114441240,10.1061/(ASCE)AE.1943-5568.0000504,https://doi.org/10.1061/(ASCE)AE.1943-5568.0000504,Taxonomical Investigation of Self-Sufficient Kinetic Building Envelopes,Journal of Architectural Engineering
2-s2.0-85086497914,10.1061/(ASCE)AE.1943-5568.0000419,https://doi.org/10.1061/(ASCE)AE.1943-5568.0000419,New Approach in Designing a Kinetic Window Shading Using Optimization Methods,Journal of Architectural Engineering
2-s2.0-85085250686,10.1061/(ASCE)AE.1943-5568.0000410,https://doi.org/10.1061/(ASCE)AE.1943-5568.0000410,Simulation Workflow for Parametric Optimization of Outdoor Comfort-Based Origami Shelter,Journal of Architectural Engineering
2-s2.0-85064475717,10.1061/9780784482261.009,https://doi.org/10.1061/9780784482261.009,Daylighting and visual comfort performance of integrated dynamic roller shades and lighting controls,Aei 2019 Integrated Building Solutions the National Agenda Proceedings of the Architectural Engineering National Conference 2019
2-s2.0-85050405261,10.1061/(ASCE)AE.1943-5568.0000323,https://doi.org/10.1061/(ASCE)AE.1943-5568.0000323,Exploration of Adaptive Origami Shading Concepts through Integrated Dynamic Simulations,Journal of Architectural Engineering
2-s2.0-84947240752,10.1061/(ASCE)EY.1943-7897.0000225,https://doi.org/10.1061/(ASCE)EY.1943-7897.0000225,Dynamic Commercial Façades versus Traditional Construction: Energy Performance and Comparative Analysis,Journal of Energy Engineering
2-s2.0-84926500777,10.1061/9780784479070.028,https://doi.org/10.1061/9780784479070.028,"The balance between daylighting and thermal performance based on exploiting the kaleidocycle typology in hot arid climate of Aswan, Egypt",Aei 2015 Birth and Life of the Integrated Building Proceedings of the Aei Conference 2015
2-s2.0-84910683434,10.1061/(ASCE)EY.1943-7897.0000149,https://doi.org/10.1061/(ASCE)EY.1943-7897.0000149,Exergy management between a building and its environment for residential hvac,Journal of Energy Engineering
2-s2.0-79952338837,10.1061/(ASCE)EM.1943-7889.0000211,https://doi.org/10.1061/(ASCE)EM.1943-7889.0000211,Distributed Mass Damper System for Integrating Structural and Environmental Controls in Buildings,Journal of Engineering Mechanics
2-s2.0-84898475278,10.1061/41130(369)186,https://doi.org/10.1061/41130(369)186,Inelastic dynamic finite-element design of light gauge metal stud façade systems for blast loading,Structures Congress 2010
2-s2.0-70349407764,10.1061/41016(314)205,https://doi.org/10.1061/41016(314)205,Retractable stadium roofs & flooring,Proceedings of the 2008 Structures Congress Structures Congress 2008 Crossing the Borders
2-s2.0-84904818588,10.1061/40177(207)125,https://doi.org/10.1061/40177(207)125,First mars outpost architectural study,Engineering Construction and Operations in Space V
