eid,doi,doi_url,title,source
2-s2.0-105030680123,10.1051/e3sconf/202668904010,https://doi.org/10.1051/e3sconf/202668904010,Dynamic Thermal Adaptive Façades: A Comparative Review of Existing Taxonomies,E3s Web of Conferences
2-s2.0-105028162151,10.1051/epjpv/2025026,https://doi.org/10.1051/epjpv/2025026,Vehicle integrated photovoltaics module architecture optimization under dynamic shading,EPJ Photovoltaics
2-s2.0-105027948341,10.1051/e3sconf/202566701009,https://doi.org/10.1051/e3sconf/202566701009,Analysis of the Effectiveness of Shading Systems in Ensuring Quality Daylighting in Gallery Spaces – Case Study,E3s Web of Conferences
2-s2.0-105003555631,10.1051/e3sconf/202562401003,https://doi.org/10.1051/e3sconf/202562401003,The Importance of Renovation and Renewable Energies for Carbon Neutral Building,E3s Web of Conferences
2-s2.0-85193480312,10.1051/e3sconf/202452302003,https://doi.org/10.1051/e3sconf/202452302003,"Energetic advantages and well-being improvement for building occupants, connected to dynamic building envelope solutions, with special focus on intelligent solar shading and ventilative cooling of NZEB and ZEB buildings",E3s Web of Conferences
2-s2.0-85179158560,10.1051/e3sconf/202343601013,https://doi.org/10.1051/e3sconf/202343601013,"Sustainability, through passive solar building envelope design, based on the principles of bioinspiration.",E3s Web of Conferences
2-s2.0-85164496083,10.1051/e3sconf/202339604002,https://doi.org/10.1051/e3sconf/202339604002,Comparing the thermal performance of Living Lab monitoring and simulation with different level of input detail,E3s Web of Conferences
2-s2.0-85160775362,10.1051/e3sconf/202338801030,https://doi.org/10.1051/e3sconf/202338801030,Energy-Efficient Soho in South Jakarta with The Application of Adaptive Solar Facade,E3s Web of Conferences
2-s2.0-85145207484,10.1051/e3sconf/202233600032,https://doi.org/10.1051/e3sconf/202233600032,Smart wall by wireless sensor network toward building energy optimization,E3s Web of Conferences
2-s2.0-85088457239,10.1051/e3sconf/202017202009,https://doi.org/10.1051/e3sconf/202017202009,Managing climate-change-induced overheating in non-residential buildings,E3s Web of Conferences
2-s2.0-85062415524,10.1051/e3sconf/20198504003,https://doi.org/10.1051/e3sconf/20198504003,Solar protection influence on dynamic insulation efficiency of double skin façades,E3s Web of Conferences
2-s2.0-85016433689,10.1051/e3sconf/20140301007,https://doi.org/10.1051/e3sconf/20140301007,Biomimetic Architecture in Building Envelope Maintenance (A Literature),E3s Web of Conferences
2-s2.0-84901463928,10.1051/epjconf/20146800037,https://doi.org/10.1051/epjconf/20146800037,Daylight adaptive shading using parametric camshaft mechanism for SOHO in Jakarta,EPJ Web of Conferences
