eid,doi,doi_url,title,source
2-s2.0-105033982139,10.3389/fbuil.2026.1788657,https://doi.org/10.3389/fbuil.2026.1788657,Multi-criteria performance assessment of an adaptive kinetic photovoltaic shading system,Frontiers in Built Environment
2-s2.0-105029808836,10.3389/fbuil.2025.1753356,https://doi.org/10.3389/fbuil.2025.1753356,Adaptive high-performance and multifunctional façade systems,Frontiers in Built Environment
2-s2.0-105033272638,10.3389/fbuil.2026.1756470,https://doi.org/10.3389/fbuil.2026.1756470,Deformability of perforated bending-active façade plates,Frontiers in Built Environment
2-s2.0-105032131255,10.3389/fbuil.2025.1738453,https://doi.org/10.3389/fbuil.2025.1738453,CNC-knitted textiles for adaptive building envelopes: material programming and interdisciplinary design strategies,Frontiers in Built Environment
2-s2.0-105032234655,10.3389/fbuil.2026.1750586,https://doi.org/10.3389/fbuil.2026.1750586,Designing more-than-human thermal comfort: bio-inspired evaporative cooling in porous facade components for cavity-nesting wild bees,Frontiers in Built Environment
2-s2.0-105022055882,10.3389/frsus.2025.1704207,https://doi.org/10.3389/frsus.2025.1704207,Basic aspects of caring for green facades in the city of Košice,Frontiers in Sustainability
2-s2.0-105011355768,10.3389/frsc.2025.1610729,https://doi.org/10.3389/frsc.2025.1610729,"Smart 3D-printed facades: a review of innovations, materials, and sustainable performance",Frontiers in Sustainable Cities
2-s2.0-85187140211,10.3389/fbuil.2024.1309621,https://doi.org/10.3389/fbuil.2024.1309621,Biomimetic design of building facades: an evolutionary-based computational approach inspired by elephant skin for cooling in hot and humid climates,Frontiers in Built Environment
2-s2.0-85150176718,10.3389/fbuil.2023.1119696,https://doi.org/10.3389/fbuil.2023.1119696,Multi-performative façade systems: The case of real-time adaptive BIPV shading systems to enhance energy generation potential and visual comfort,Frontiers in Built Environment
2-s2.0-85139220297,10.3389/fbuil.2022.1006300,https://doi.org/10.3389/fbuil.2022.1006300,"Tectonics of kinetic architecture: Moving envelope, changing space and the shades of the shed",Frontiers in Built Environment
2-s2.0-85138272822,10.3389/fbuil.2022.995710,https://doi.org/10.3389/fbuil.2022.995710,Equilibrium path and stability analysis of rigid origami using energy minimization of frame model,Frontiers in Built Environment
2-s2.0-85133358937,10.3389/fbuil.2022.814911,https://doi.org/10.3389/fbuil.2022.814911,D1244: Design and Construction of the First Adaptive High-Rise Experimental Building,Frontiers in Built Environment
2-s2.0-85088433108,10.3389/fbuil.2020.00095,https://doi.org/10.3389/fbuil.2020.00095,Integrating Ionic Electroactive Polymer Actuators and Sensors Into Adaptive Building Skins – Potentials and Limitations,Frontiers in Built Environment
2-s2.0-85062458386,10.3389/fmats.2019.00007,https://doi.org/10.3389/fmats.2019.00007,On the kinematics and actuation of dynamic sunscreens with tensegrity architecture,Frontiers in Materials
