eid,doi,doi_url,title,source
2-s2.0-105037803012,10.1109/SoutheastCon63549.2026.11476704,https://doi.org/10.1109/SoutheastCon63549.2026.11476704,Intelligent Facades: An IIoT and Digital Twin Framework for Occupancy-Aware Kinetic Envelope Control,Conference Proceedings IEEE SOUTHEASTCON
2-s2.0-105030343309,10.1109/SEFET65155.2025.11255452,https://doi.org/10.1109/SEFET65155.2025.11255452,Review of MPPT Techniques for Dynamic Partial Shading in Solar PV Systems,5th IEEE International Conference on Sustainable Energy and Future Electric Transportation Sefet 2025
2-s2.0-105016892678,10.1109/ICEPE65965.2025.11139553,https://doi.org/10.1109/ICEPE65965.2025.11139553,Adaptive MPPT Strategy for BIPV Systems Using MBGO Assisted P&O Under Dynamic Shading,7th International Conference on Energy Power and Environment Icepe 2025
2-s2.0-105035362877,10.1109/GIEST66547.2025.11387715,https://doi.org/10.1109/GIEST66547.2025.11387715,ML-Driven MPPT Optimization for Photovoltaic Systems Under Dynamic Shading Conditions,2025 IEEE 2nd International Conference on Green Industrial Electronics and Sustainable Technologies Giest 2025
2-s2.0-105001208765,10.1109/ACCESS.2025.3551226,https://doi.org/10.1109/ACCESS.2025.3551226,Optimizing Building Performance: A Grasshopper Modeling Case Study of the King Hussein Mosque,IEEE Access
2-s2.0-105009440994,10.1109/TTE.2025.3581349,https://doi.org/10.1109/TTE.2025.3581349,Resilience-Oriented Asynchronous Decentralized Restoration Considering Building and E-Bus Coresponse in Electricity-Transportation Networks,IEEE Transactions on Transportation Electrification
2-s2.0-105032828416,10.1109/ICRERA66237.2025.11284095,https://doi.org/10.1109/ICRERA66237.2025.11284095,Assessing Vegetation-driven Reduction in Window Solar Heat Gain using LiDAR-based Modelling,14th International Conference on Renewable Energy Research and Applications Icrera 2025
2-s2.0-105037453923,10.1109/SISIMPACT67725.2025.11439429,https://doi.org/10.1109/SISIMPACT67725.2025.11439429,Comparative Analysis of Shading Strategies on Solar Heat Gain Through Glass for Energy-Efficient Buildings,Proceedings 2025 IEEE 1st International Conference on Smart Innovations in Systems Infrastructure Mechanical Power AI and Computing Technologies Sisimpact 2025
2-s2.0-105013054451,10.1109/ELMA65795.2025.11083509,https://doi.org/10.1109/ELMA65795.2025.11083509,Dynamic Agrivoltaic Shading System for Optimal Plant Shading,2025 19th International Conference on Electrical Machines Drives and Power Systems Elma 2025 Proceedings
2-s2.0-105004640278,10.1109/SSDEE64538.2025.10967910,https://doi.org/10.1109/SSDEE64538.2025.10967910,A Zeta Converter-Based Improved BLDC Motor-Driven Water Pumping System for Partial Shading Environment of Solar PV,2025 IEEE 1st International Conference on Smart and Sustainable Developments in Electrical Engineering Ssdee 2025
2-s2.0-105015460519,10.1109/SSI65953.2025.11107200,https://doi.org/10.1109/SSI65953.2025.11107200,Adaptive Energy-Harvesting Façades: A Multi-Technology Approach for Optimizing Indoor Comfort and Sustainability,2025 Smart Systems Integration Conference and Exhibition Ssi 2025
2-s2.0-105031883664,10.1109/IISA66859.2025.11311297,https://doi.org/10.1109/IISA66859.2025.11311297,Towards Large Scale Facade Feature Extraction Using Vision Transformers & Panoramic Street View Imagery,16th International Conference on Information Intelligence Systems and Applications Iisa 2025
2-s2.0-105021800983,10.1109/ICPEA65539.2025.11198251,https://doi.org/10.1109/ICPEA65539.2025.11198251,An Adaptive PSO Algorithm for Robust Maximum Power Point Tracking in Photovoltaic Systems Under Rapid Irradiance Changes and Partial Shading,2025 IEEE 5th International Conference on Power Engineering Applications Engineering the Future Smart Solutions for Sustainable Power Systems Icpea 2025
2-s2.0-105036943304,10.1109/ICINVENTS64613.2025.11401891,https://doi.org/10.1109/ICINVENTS64613.2025.11401891,Efficient OBEO MPPT Controller For PV Under Dynamic and Partial Shading Conditions,2025 IEEE 1st International Conference on Innovations in Engineering and Next Generation Technologies for Sustainability Icinvents 2025
2-s2.0-105012241596,10.1109/JSEN.2025.3591671,https://doi.org/10.1109/JSEN.2025.3591671,An Adaptive Envelope Orthogonal Sparsity Matching Method for Rolling Bearing Transient Feature Enhancement,IEEE Sensors Journal
2-s2.0-105005327434,10.1109/TASE.2025.3569539,https://doi.org/10.1109/TASE.2025.3569539,Enhanced Adaptive Prescribed Performance Constrained Control With Safe Dynamic Envelope for Input-Saturated Nonlinear System,IEEE Transactions on Automation Science and Engineering
2-s2.0-85207651884,10.1109/SEST61601.2024.10694396,https://doi.org/10.1109/SEST61601.2024.10694396,Deterministic Sizing of Integrated Facade Nodes for Smart Buildings,2024 International Conference on Smart Energy Systems and Technologies Driving the Advances for Future Electrification Sest 2024 Proceedings
2-s2.0-85211894520,10.1109/EEEIC/ICPSEurope61470.2024.10751222,https://doi.org/10.1109/EEEIC/ICPSEurope61470.2024.10751222,Optimizing Integrated Shading Device and Light Shelf for Daylight Performance and Visual Comfort in Architecture Studio,Proceedings 24th Eeeic International Conference on Environment and Electrical Engineering and 8th I and Cps Industrial and Commercial Power Systems Europe Eeeic I and Cps Europe 2024
2-s2.0-86000026738,10.1109/ICBIR61386.2024.10875775,https://doi.org/10.1109/ICBIR61386.2024.10875775,Experimental Investigation of Thermal Performance of Windows with External Shading Slats for Air-Conditioned Buildings in Thailand,Icbir 2024 2024 9th International Conference on Business and Industrial Research Proceedings
2-s2.0-85192358221,10.1109/ICCECE61317.2024.10504239,https://doi.org/10.1109/ICCECE61317.2024.10504239,Visual Perception-Driven Dynamic Adaptive Shading,2024 4th International Conference on Consumer Electronics and Computer Engineering Iccece 2024
2-s2.0-85211811073,10.1109/ETCM63562.2024.10746014,https://doi.org/10.1109/ETCM63562.2024.10746014,Enhancement of an Adaptive Building-Skin System for Local and Remote Multi-Modal Operation,Etcm 2024 8th Ecuador Technical Chapters Meeting
2-s2.0-85218343194,10.1109/IC-SIT63503.2024.10862256,https://doi.org/10.1109/IC-SIT63503.2024.10862256,Partial Shading Effect Minimization in a PV Array using Shading Behaviour based Adaptive Reconfiguration Algorithm,2024 International Conference on Intelligent Computing and Sustainable Innovations in Technology IC Sit 2024
