eid,doi,doi_url,title,source
2-s2.0-105027941582,10.1088/1742-6596/3140/2/022009,https://doi.org/10.1088/1742-6596/3140/2/022009,Performance assessment of an adaptive opaque façade technology across diverse European climates: Energy efficiency and thermal comfort improvements,Journal of Physics Conference Series
2-s2.0-105014739375,10.1088/1742-6596/3071/1/012016,https://doi.org/10.1088/1742-6596/3071/1/012016,Designing buildings with potential for Artificial Intelligence integration: a conceptual study on adaptive façades,Journal of Physics Conference Series
2-s2.0-105027940427,10.1088/1742-6596/3140/5/052003,https://doi.org/10.1088/1742-6596/3140/5/052003,Performance-driven Shape Memory-based kinetic solar shading design,Journal of Physics Conference Series
2-s2.0-105027936111,10.1088/1742-6596/3140/19/082009,https://doi.org/10.1088/1742-6596/3140/19/082009,Design of adaptive shading device with rigid origami technique: improving outdoor thermal comfort on pathways of university campus,Journal of Physics Conference Series
2-s2.0-105016413490,10.1088/1755-1315/1530/1/012008,https://doi.org/10.1088/1755-1315/1530/1/012008,Enhancing educational indoor daylighting performance using parametric adaptive facade design,Iop Conference Series Earth and Environmental Science
2-s2.0-105027108460,10.1088/1755-1315/1568/1/012021,https://doi.org/10.1088/1755-1315/1568/1/012021,Enhancing Architectural Climate Adaptation Through Passive Building Envelope Strategies in Southern Europe: A Case study of the Moroccan Pavilion,Iop Conference Series Earth and Environmental Science
2-s2.0-105027204885,10.1088/1742-6596/3143/1/012055,https://doi.org/10.1088/1742-6596/3143/1/012055,Numerical Analysis of Performance of Dynamic Second-Skin Façades with Photovoltaic panels integrated in a Residential Building in Southern Italy,Journal of Physics Conference Series
2-s2.0-105016351794,10.1088/1755-1315/1530/1/012009,https://doi.org/10.1088/1755-1315/1530/1/012009,Daylight Performance-Based Design Model for Bio-adaptive Building Skin for Office Space of Administrative Buildings in Egypt,Iop Conference Series Earth and Environmental Science
2-s2.0-105027939394,10.1088/1742-6596/3140/10/102004,https://doi.org/10.1088/1742-6596/3140/10/102004,Field assessment of visual performance of a dynamic dual glazing assembly for occupants with lateral incident light,Journal of Physics Conference Series
2-s2.0-105025454948,10.1088/1755-1315/1556/1/012002,https://doi.org/10.1088/1755-1315/1556/1/012002,Finding the best shading device model to enhance visual comfort in an educational building,Iop Conference Series Earth and Environmental Science
2-s2.0-105027213300,10.1088/1755-1315/1554/1/012026,https://doi.org/10.1088/1755-1315/1554/1/012026,"Retrofitting European Office Building stock: combining principles of bio-economy and circular economy for context-based, adaptable facade solutions",Iop Conference Series Earth and Environmental Science
2-s2.0-105027196581,10.1088/1755-1315/1554/1/012115,https://doi.org/10.1088/1755-1315/1554/1/012115,Keeping cool with lower emissions: comparing internal to external blinds as solar shading devices,Iop Conference Series Earth and Environmental Science
2-s2.0-105025897495,10.1088/1755-1315/1546/1/012071,https://doi.org/10.1088/1755-1315/1546/1/012071,Empowering Occupants: Significance of Behavioral Choices in Reducing Space Cooling Demand in Europe,Iop Conference Series Earth and Environmental Science
2-s2.0-85213353712,10.1088/1361-665X/ad9446,https://doi.org/10.1088/1361-665X/ad9446,Solar-powered thermo-pneumatic actuators for passively controlled adaptive shading,Smart Materials and Structures
2-s2.0-85208587483,10.1088/1755-1315/1404/1/012015,https://doi.org/10.1088/1755-1315/1404/1/012015,Comparing the Effectiveness of Dynamic Facades for Natural Daylight and Energy Usage in Buildings,Iop Conference Series Earth and Environmental Science
2-s2.0-85187575812,10.1088/1755-1315/1301/1/012012,https://doi.org/10.1088/1755-1315/1301/1/012012,"Perception Study on Kinetic Recycled Compact Disc Facade in Tourism Hall, Jarak - Wonosalam",Iop Conference Series Earth and Environmental Science
2-s2.0-85208600943,10.1088/1755-1315/1404/1/012009,https://doi.org/10.1088/1755-1315/1404/1/012009,Dynamic facade potential for indoor lighting uniformity,Iop Conference Series Earth and Environmental Science
2-s2.0-85169702223,10.1088/1755-1315/1210/1/012012,https://doi.org/10.1088/1755-1315/1210/1/012012,"Development and optimization of kinetic façade system for the improvement of visual comfort in an office building at Gurugram, India",Iop Conference Series Earth and Environmental Science
2-s2.0-85169662384,10.1088/1755-1315/1210/1/012003,https://doi.org/10.1088/1755-1315/1210/1/012003,Identifying external louver angle for residence opening to optimize the indoor environment for the composite climate of Delhi NCR,Iop Conference Series Earth and Environmental Science
2-s2.0-85180158871,10.1088/1742-6596/2600/9/092017,https://doi.org/10.1088/1742-6596/2600/9/092017,Sequentially coupling LBNL-method and Modelica to model and operate adaptive facades with inhomogeneous printing patterns,Journal of Physics Conference Series
2-s2.0-85181170131,10.1088/1742-6596/2654/1/012109,https://doi.org/10.1088/1742-6596/2654/1/012109,Numerical sensitivity analysis of the energy performance of building envelope with dynamic conditions,Journal of Physics Conference Series
2-s2.0-85180150748,10.1088/1742-6596/2600/2/022006,https://doi.org/10.1088/1742-6596/2600/2/022006,Projected energy savings of a 3D printed selective heat transfer facade,Journal of Physics Conference Series
2-s2.0-85159441652,10.1088/1742-6596/2477/1/012027,https://doi.org/10.1088/1742-6596/2477/1/012027,Structural Design and Analysis of an Adaptive Manipulator,Journal of Physics Conference Series
2-s2.0-85127315495,10.1088/1755-1315/992/1/012004,https://doi.org/10.1088/1755-1315/992/1/012004,Studying the influence of shading devices on indoor thermal comfort in desert and Mediterranean climates,Iop Conference Series Earth and Environmental Science
