eid,doi,doi_url,title,source
2-s2.0-105025487653,,,Building Envelope,Energy Management Handbook 10th Edition
2-s2.0-85214800463,,,TRANSFORMATION OF DEVELOPABLE SURFACES IN APPLIED TASKS OF CONSTRUCTIONAL PHYSICS,International Journal on Technical and Physical Problems of Engineering
2-s2.0-85206009826,,,EFFECT OF A BEE-INSPIRED ADAPTIVE ENVELOPE ON EXISTING ADMINISTRATIVE BUILDING IN A SEMI-ARID CLIMATE,International Journal on Technical and Physical Problems of Engineering
2-s2.0-85196713091,,,BRIDGING EXTERIOR AND INTERIOR CLIMATE: Interdisciplinary Design of a Dual-Functional Adaptive Kinetic Façade,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-105023673830,,,Daylighting and Energy Optimisation in Tropical Offices: Performance of Climate Adaptive Kinetic Façades over Static Designs,PLEA 2024 Re Thinking Resilience Proceedings of 37th PLEA Conference Sustainable Architecture and Urban Design the Book of Proceedings
2-s2.0-105023670194,,,Performance Based Dynamic Shading Module: Exploring fold adaptive mechanisms for tropical office façades,PLEA 2024 Re Thinking Resilience Proceedings of 37th PLEA Conference Sustainable Architecture and Urban Design the Book of Proceedings
2-s2.0-105023678013,,,Climate Resilient Vertical Green Façades: Shading Strategies for Vegetation on Building Skins,PLEA 2024 Re Thinking Resilience Proceedings of 37th PLEA Conference Sustainable Architecture and Urban Design the Book of Proceedings
2-s2.0-85210256765,,,Impacts of Human Energy-Related Behaviours on the Energy Efficiency of Adaptive Building Façade: A Review,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85217174703,,,DYNAMIC INSULATED SHUTTER SYSTEM FOR A DOUBLE-LAYER BUILDING FAÇADE: A CASE STUDY WITH PHYSICAL PROTOTYPE,Simulation Series
2-s2.0-105012247816,,,Implementing Adaptive Responsive Facade to Achieve Sustainable Design,Zemch International Conference
2-s2.0-105012253120,,,"Strategies to Revive External Adaptive Shading Systems for Residential Architecture: A study based on Literature, Questionnaire and Observed Examples from Delhi",Zemch International Conference
2-s2.0-105023679446,,,Applying Visible Difference Prediction to View Visibility,PLEA 2024 Re Thinking Resilience Proceedings of 37th PLEA Conference Sustainable Architecture and Urban Design the Book of Proceedings
2-s2.0-85210884603,,,Enhanced Building Energy Efficiency by a Novel Dynamic Photovoltaic-integrated Shading Device (PVSD),18th Conference of the International Society of Indoor Air Quality and Climate Indoor AIR 2024 Conference Program and Proceedings
2-s2.0-105023699133,,,Bio-HNV: Bio-based Humidity-responsive Night Ventilation for climate resilience: A new generation of responsive building skin for passive cooling,PLEA 2024 Re Thinking Resilience Proceedings of 37th PLEA Conference Sustainable Architecture and Urban Design the Book of Proceedings
