eid,doi,doi_url,title,source
2-s2.0-105032701225,10.15627/jd.2026.5,https://doi.org/10.15627/jd.2026.5,Sequential Multi-Objective Optimization and Post-optimization Sensitivity Analysis of Light Shelf Variables in Semi-Arid Climates,Journal of Daylighting
2-s2.0-105039957234,10.1073/pnas.2535522123,https://doi.org/10.1073/pnas.2535522123,Indoor thermoregulatory homeostasis using hydrodynamic instability,Proceedings of the National Academy of Sciences of the United States of America
2-s2.0-105037816760,10.31202/ecjse.1786255,https://doi.org/10.31202/ecjse.1786255,Biomimetic Design of a Climate-Responsive Building Envelope Cell Performing Under Both Hot and Cold Weather Conditions,El Cezeri Journal of Science and Engineering
2-s2.0-105038219631,10.1093/jcde/qwag038,https://doi.org/10.1093/jcde/qwag038,Predictive collective control of large-scale kinetic facades via graph neural networks and reinforcement learning: From simulation to physical validation,Journal of Computational Design and Engineering
2-s2.0-105040227506,10.1117/12.3090546,https://doi.org/10.1117/12.3090546,Smart Adaptable Multistable Building Facades,Proceedings of SPIE the International Society for Optical Engineering
2-s2.0-105024445764,10.1108/OHI-12-2024-0402,https://doi.org/10.1108/OHI-12-2024-0402,Algorithmic replication of macramé techniques: bridging analog movements with computational design,Open House International
2-s2.0-105034762437,10.51461/issn.2309-3072/87.2744,https://doi.org/10.51461/issn.2309-3072/87.2744,Breathing architecture: Integrating nature and cities,Project Baikal
2-s2.0-105033364612,10.30822/arteks.v11i1.4857,https://doi.org/10.30822/arteks.v11i1.4857,Adaptive facade systems: classification proposal and bibliometric analysis developed through systematic literature review,Arteks Jurnal Teknik Arsitektur
2-s2.0-105030716921,10.36922/JCAU025120026,https://doi.org/10.36922/JCAU025120026,Energy savings from the shading performance of devices in highly glazed multi-story office buildings in the tropical climates of China and India,Journal of Chinese Architecture and Urbanism
2-s2.0-105030437657,10.1117/12.3098842,https://doi.org/10.1117/12.3098842,Iterative digital elevation model optimization via ray tracing and multiscale dynamic shape-from-shading reconstruction,Proceedings of SPIE the International Society for Optical Engineering
2-s2.0-105033382870,10.37868/hsd.v8i1.1973,https://doi.org/10.37868/hsd.v8i1.1973,Effects of building façade architectural design elements on thermal comfort and energy efficiency,Heritage and Sustainable Development
2-s2.0-105039709363,10.1155/ina/9959278,https://doi.org/10.1155/ina/9959278,"Deep Reinforcement Learning–Based Multiobjective Control of Hybrid Building Envelopes: Integrating Adaptive Façades, Passive Radiative Cooling, and Indoor Air Quality Management Across Iranian Climates",Indoor Air
2-s2.0-105038361506,10.63044/w26xio184,https://doi.org/10.63044/w26xio184,Environmentally Responsive Shading Structures with Sensor-Based Prefabricated Mechanical Systems,ASHRAE Transactions
2-s2.0-105033682453,10.53898/JOSSE2025548,https://doi.org/10.53898/JOSSE2025548,A Systematic Review of Kinetic Architecture as a Strategy for Improving Thermal Comfort in Office Buildings in Hot-Dry Climates,Journal of Studies in Science and Engineering
2-s2.0-105028227685,10.1126/scirobotics.ady7233,https://doi.org/10.1126/scirobotics.ady7233,Architectural swarms for responsive façades and creative expression,Science Robotics
2-s2.0-105030534261,10.1108/SASBE-05-2025-0218,https://doi.org/10.1108/SASBE-05-2025-0218,From nature to structure: advancing building efficiency with biomimicry-inspired green façades,Smart and Sustainable Built Environment
2-s2.0-105033474273,10.30822/arteks.v11i1.4973,https://doi.org/10.30822/arteks.v11i1.4973,Energy-efficient building design in tropical climates: A systematic literature review of heat transfer strategies,Arteks Jurnal Teknik Arsitektur
2-s2.0-105029680047,10.13189/cea.2026.140209,https://doi.org/10.13189/cea.2026.140209,Toward Economically Viable Climate-Responsive Envelope Solutions for Social Housing in Egypt: A Comparative Study,Civil Engineering and Architecture
2-s2.0-105026564749,10.35378/gujs.1629541,https://doi.org/10.35378/gujs.1629541,A Bibliometric Analysis on Bio-Inspired Responsive Facades,Gazi University Journal of Science
2-s2.0-105010871768,10.15627/jd.2025.18,https://doi.org/10.15627/jd.2025.18,Designing a Kinetic Façade to Control Glare: Inspiration of Long-Day Plants Pattern,Journal of Daylighting
2-s2.0-105009003053,10.15627/jd.2025.17,https://doi.org/10.15627/jd.2025.17,Tessellation-Based Origami-Inspired Movable Façade for Daylighting and Exposure Optimization: Assessing Different Movement Approaches,Journal of Daylighting
2-s2.0-105029057963,10.2478/czoto-2025-0048,https://doi.org/10.2478/czoto-2025-0048,SYSTEM SAFETY OF FAÇADE SCAFFOLDING: ACHIEVING ACCEPTABLE DYNAMIC PERFORMANCE THROUGH ANCHORAGE AND BRACING DESIGN,System Safety Human Technical Facility Environment
2-s2.0-105024465578,10.14358/PERS.25-00037R3,https://doi.org/10.14358/PERS.25-00037R3,Joint Detection and Parameters Regression of Detailed Windows based on Facade Textures via an Adaptive Soft Teacher,Photogrammetric Engineering and Remote Sensing
2-s2.0-105024979604,10.4018/979-8-3373-5248-0.ch006,https://doi.org/10.4018/979-8-3373-5248-0.ch006,Designing Adaptive and Self-Responsive Structures,Integrating Modern Mathematics and Sensor Technologies in Civil Engineering
2-s2.0-105023120949,10.17973/MMSJ.2025_11_2025073,https://doi.org/10.17973/MMSJ.2025_11_2025073,OPTIMIZATION OF LIGHTING SYSTEMS FOR INCREASING ENERGY EFFICIENCY OF PUBLIC BUILDINGS,Mm Science Journal
2-s2.0-105037937283,10.31026/j.eng.2025.11.10,https://doi.org/10.31026/j.eng.2025.11.10,Technological Activation of Building Envelopes to Achieve Environmental Comfort,Journal of Engineering Iraq
2-s2.0-105022447125,10.21608/auej.2025.382274.1833,https://doi.org/10.21608/auej.2025.382274.1833,APPLICATION OF BIOMIMETIC FACADES FOR A MORE SUSTAINABLE FUTURE,Journal of Al Azhar University Engineering Sector
2-s2.0-105018226817,10.35784/bud-arch.7102,https://doi.org/10.35784/bud-arch.7102,"Simulation-based performance evaluation of kinetic Mashrabiya for thermal comfort and energy efficiency in arid climates: A case study in Biskra, Algeria",Budownictwo I Architektura
2-s2.0-105021299672,10.18280/ijdne.200914,https://doi.org/10.18280/ijdne.200914,Simulation-Based Evaluation of Bio-Inspired Wall Materials for Energy-Efficient Prefabricated Housing in Hot-Arid Climates,International Journal of Design and Nature and Ecodynamics
2-s2.0-105007087859,10.37934/arfmts.131.1.155174,https://doi.org/10.37934/arfmts.131.1.155174,Angle of Folding of Dynamic Kinetic Façade Configuration for Air Velocity and Indoor Air Temperature in a Naturally-Ventilated Hotel Guestroom in the Hot and Humid Climate,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences
2-s2.0-105007906071,10.21608/jesaun.2025.360974.1428,https://doi.org/10.21608/jesaun.2025.360974.1428,"From Stasis to Motion: Enhancing Environmental Performance through Dynamic Architecture Techniques A Reimagining of Traditional MashRabiya in Contemporary Case Study Design Commercial Building Design in Egypt (Mokattam area, Cairo)",Journal of Engineering Sciences
2-s2.0-105006797861,10.1021/acsenergylett.5c00637,https://doi.org/10.1021/acsenergylett.5c00637,"Glare-Free, Energy-Efficient Smart Windows: A Pedestrian-Friendly System with Dynamically Tunable Light and Heat Regulation",ACS Energy Letters
2-s2.0-85218080379,10.15627/jd.2025.5,https://doi.org/10.15627/jd.2025.5,Designing Adaptability Strategy to a Novel Kinetic Adaptive Façade (NKAF); Toward a Pioneering Method in Dynamic-objects Daylight Simulation (Post-Processing),Journal of Daylighting
2-s2.0-85217251600,10.15627/jd.2025.1,https://doi.org/10.15627/jd.2025.1,Daylight Optimization of the South-Faced Architecture Classrooms Using Biomimicry-Based Kinetic Facade Shading System,Journal of Daylighting
2-s2.0-105012978506,10.18280/ijdne.200608,https://doi.org/10.18280/ijdne.200608,Biomimetic Strategies in Kinetic Architecture: A Comparative Analysis of Nature-Inspired Roof and Façade Designs,International Journal of Design and Nature and Ecodynamics
2-s2.0-105008570209,10.18280/ijsdp.200507,https://doi.org/10.18280/ijsdp.200507,Parametric Analysis of Daylight and Solar Energy Performance of Oasis Building Environments Through Kinetic Shading Devices Integrated with a Photovoltaic System,International Journal of Sustainable Development and Planning
2-s2.0-105007689472,10.13189/cea.2025.131304,https://doi.org/10.13189/cea.2025.131304,Utilizing Adaptive Glass and Materials in Smart Window Design to Improve Thermal Performance of Buildings in Hot Climates,Civil Engineering and Architecture
2-s2.0-86000763996,10.35378/gujs.1433809,https://doi.org/10.35378/gujs.1433809,"Multi-Objective Optimization of a Folding Kinetic Facade System Proposal for Thermal, Daylight, and Energy Performances",Gazi University Journal of Science
2-s2.0-85217028059,10.13189/cea.2025.130204,https://doi.org/10.13189/cea.2025.130204,A Multi-objective Optimization for Passive Adaptive Envelope Integrating Smart Materials,Civil Engineering and Architecture
2-s2.0-86000285490,10.13189/cea.2025.130239,https://doi.org/10.13189/cea.2025.130239,Machine Learning for Adaptive Facade Design: Enhancing Thermal Performance in Urban Architecture,Civil Engineering and Architecture
2-s2.0-105006666309,10.20898/j.iass.2024.013,https://doi.org/10.20898/j.iass.2024.013,EVOLVING TENSEGRITY FAÇADE SYSTEMS: COMPUTATIONAL MORPHOGENESIS THROUGH MULTI-STEP OPTIMIZATION AND DIGITAL FABRICATION OF STRUCTURAL MODULES,Journal of the International Association for Shell and Spatial Structures
2-s2.0-86000190113,10.1364/OL.550391,https://doi.org/10.1364/OL.550391,Blind signal reconstruction for continuous-time photonic time-stretch analog-to-digital converters,Optics Letters
2-s2.0-105000761001,10.1063/5.0258553,https://doi.org/10.1063/5.0258553,Tunable foil pneu: A concept study on kinetic shading systems for climate-sensitive building envelopes,Aip Conference Proceedings
2-s2.0-105011310369,10.62754/ais.v6i1.103,https://doi.org/10.62754/ais.v6i1.103,Enhancing building energy system design using computational intelligence for smart buildings,Architecture Image Studies
2-s2.0-85218120115,10.48619/ais.v6i1.1087,https://doi.org/10.48619/ais.v6i1.1087,Enhancing building energy system design using computational intelligence for smart buildings,Architecture Image Studies
2-s2.0-105023472535,10.52842/conf.caadria.2025.3.243,https://doi.org/10.52842/conf.caadria.2025.3.243,A Predictive Model for Dynamic Facades' Daylight Performance using Multimodal Fusion Learning,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-105035258792,10.26868/25222708.2025.1749,https://doi.org/10.26868/25222708.2025.1749,Thermo-Bimetal Responsive Building Skins: Comparative Analysis of Self-Actuated Geometric Patterning and User Override on Daylight and Energy Efficiency,Building Simulation Conference Proceedings
2-s2.0-85216662439,10.55214/25768484.V9I1.4251,https://doi.org/10.55214/25768484.V9I1.4251,Advancing adaptive facades for a sustainable future in building design,Edelweiss Applied Science and Technology
2-s2.0-105033349571,10.23968/2500-0055-2025-10-4-3-16,https://doi.org/10.23968/2500-0055-2025-10-4-3-16,IMPACT OF ADAPTIVE BIOMIMETIC BUILDING SKINS ON INDOOR THERMAL COMFORT: A COMPUTATIONAL EVALUATION,Architecture and Engineering
2-s2.0-105019198767,10.37575/b/eng/250018,https://doi.org/10.37575/b/eng/250018,Building Energy Performance Assessment Based on a Bio-Inspired Kinetic Shading Devices,Scientific Journal of King Faisal University Basic and Applied Sciences
2-s2.0-105010688671,10.22616/ERDev.2025.24.TF275,https://doi.org/10.22616/ERDev.2025.24.TF275,AI-DRIVEN PARAMETRIC FACADE DESIGN FOR ADAPTIVE ARCHITECTURAL PERFORMANCE,Engineering for Rural Development
2-s2.0-105026139531,10.52842/conf.ecaade.2025.1.421,https://doi.org/10.52842/conf.ecaade.2025.1.421,Adaptive Façades for Activity-Specific Well-Being: Exploring emotional responses with virtual reality and machine learning,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-105035257839,10.26868/25222708.2025.1848,https://doi.org/10.26868/25222708.2025.1848,Evaluating the Energy Performance of Climate-Adaptive Building Envelopes Using Shading Mask Map,Building Simulation Conference Proceedings
2-s2.0-105016498349,10.12732/ijam.v38i1s.12,https://doi.org/10.12732/ijam.v38i1s.12,SIMULATION-BASED INVESTIGATION OF ETFE AND AUTOHEAL POLYMERS FOR ENERGY EFFICIENCY AND THERMAL COMFORT IN ADAPTIVE BUILDING ENVELOPES,International Journal of Applied Mathematics
2-s2.0-105018678599,10.1108/SASBE-07-2025-0388,https://doi.org/10.1108/SASBE-07-2025-0388,An integrated generative-analytic framework for the performance-driven design of kinetic façades,Smart and Sustainable Built Environment
2-s2.0-105023482070,10.52842/conf.caadria.2025.3.305,https://doi.org/10.52842/conf.caadria.2025.3.305,A Workflow for Implementing Reinforcement Learning Incorporating Occupant Preference in Climate-Adaptive Facade Control,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-105034749056,10.65388/JDFD5647,https://doi.org/10.65388/JDFD5647,A conceptual application of 4D-printed (4DP) bistable unit cells for climate-responsive façades systems,Proceedings of the International Conference of Architectural Science Association
2-s2.0-105023473343,10.52842/conf.caadria.2025.3.213,https://doi.org/10.52842/conf.caadria.2025.3.213,A Data-Driven Optimization Control Framework for Adaptive Solar Façades Balancing Photovoltaic Performance and Indoor Environment,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-105026170058,10.52842/conf.ecaade.2025.1.211,https://doi.org/10.52842/conf.ecaade.2025.1.211,Developing Machine Learning Models to Predict Outdoor Thermal Comfort of Kinetic Shading Devices: An approach for global optimization,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-105035257977,10.26868/25222708.2025.1824,https://doi.org/10.26868/25222708.2025.1824,Deep Learning-Based Surrogate Modelling for Optimal Control of Climate-Responsive Adaptive Façade Systems,Building Simulation Conference Proceedings
2-s2.0-105035259439,10.26868/25222708.2025.1936,https://doi.org/10.26868/25222708.2025.1936,Energy flexibility potential of transparent responsive building envelope elements,Building Simulation Conference Proceedings
