eid,doi,doi_url,title,source
2-s2.0-105035804991,10.1007/s44217-026-01426-9,https://doi.org/10.1007/s44217-026-01426-9,Integrating dynamic façade design into architectural education and practice through Mashrabiya-inspired kinetic systems,Discover Education
2-s2.0-105039523489,10.1007/s43621-026-03014-1,https://doi.org/10.1007/s43621-026-03014-1,Genetic algorithm-based assessment of kinetic façade prototypes for energy optimization and user comfort: a hotel case study in Iran,Discover Sustainability
2-s2.0-105037547057,10.1007/s00484-026-03207-3,https://doi.org/10.1007/s00484-026-03207-3,Revealing walking experiences for shading based gendered perceptions of thermal comfort in a hot city,International Journal of Biometeorology
2-s2.0-105033816142,10.1007/s41024-026-00802-0,https://doi.org/10.1007/s41024-026-00802-0,BIM-BES-based energy performance simulation of library-type buildings considering cold winter/hot summer climate regime with passive strategies,Journal of Building Pathology and Rehabilitation
2-s2.0-105021091145,10.1007/s00004-025-00848-6,https://doi.org/10.1007/s00004-025-00848-6,"Geometric Feasibility of Kinetic Islamic Geometric Patterns: A Case Study of Ten-Point star Configurations in Five Mosques in Isfahan, Iran",Nexus Network Journal
2-s2.0-105027260676,10.1007/s43995-025-00272-4,https://doi.org/10.1007/s43995-025-00272-4,Harnessing wind energy through responsive kinetic façades for sustainable building design,Journal of Umm Al Qura University for Engineering and Architecture
2-s2.0-105038479955,10.1007/978-3-032-10546-2_136,https://doi.org/10.1007/978-3-032-10546-2_136,"Curved-Folding Biomimicry-Inspired Kinetic Facades: Integrating Composite Materials for Energy-Efficient, Motorless Adaptive Building Envelope",Lecture Notes in Civil Engineering
2-s2.0-105038570681,10.1007/978-3-032-10546-2_99,https://doi.org/10.1007/978-3-032-10546-2_99,Advancing Simulation Tools: Adaptive Façades for Building Decarbonization,Lecture Notes in Civil Engineering
2-s2.0-105035744454,10.1007/978-981-95-1826-5_17,https://doi.org/10.1007/978-981-95-1826-5_17,Dynamic Shading Device with Phase Change Materials: Optimized Performance for Resilient and Sustainable Building Stock,Lecture Notes in Civil Engineering
2-s2.0-105035721791,10.1007/978-981-95-1826-5_41,https://doi.org/10.1007/978-981-95-1826-5_41,Dynamic Ventilated Façades for Lightweight Buildings: A Strategy for Mitigating Overheating,Lecture Notes in Civil Engineering
