eid,doi,doi_url,title,source
2-s2.0-105035769971,10.1080/17452007.2026.2658645,https://doi.org/10.1080/17452007.2026.2658645,"Responsive building façades: a systematic review of technologies, challenges, and future directions",Architectural Engineering and Design Management
2-s2.0-105009429618,10.1080/14733315.2025.2524918,https://doi.org/10.1080/14733315.2025.2524918,Performance optimization of an office building with a dynamic façade system,International Journal of Ventilation
2-s2.0-105031576063,10.1080/13467581.2026.2633017,https://doi.org/10.1080/13467581.2026.2633017,Integrated two-stage optimization of façade adaptation and renewable systems for indoor comfort in NZEBs,Journal of Asian Architecture and Building Engineering
2-s2.0-105030282749,10.1080/02678292.2026.2627357,https://doi.org/10.1080/02678292.2026.2627357,Nanofiber-engineered multichromic PDLCs with dynamic pattern switching for advanced adaptive fenestration,Liquid Crystals
2-s2.0-105029422297,10.1080/13467581.2026.2620975,https://doi.org/10.1080/13467581.2026.2620975,Response mechanisms between daylighting performance and skylight design variables in underground public spaces,Journal of Asian Architecture and Building Engineering
2-s2.0-85164492932,10.1080/2159032X.2023.2228186,https://doi.org/10.1080/2159032X.2023.2228186,The Lost Kinetic Architecture and How to Reintroduce it in the Landscape–The Case Study of the Drainage Windmills in the Vistula Delta,Heritage and Society
2-s2.0-85214263895,10.1080/17508975.2024.2448524,https://doi.org/10.1080/17508975.2024.2448524,Proposal for a kinetic façade system based on curved line folding technique,Intelligent Buildings International
2-s2.0-105012552090,10.1080/23744731.2025.2534771,https://doi.org/10.1080/23744731.2025.2534771,Biomimetic approach for beams-redirected adaptive facade with emphasis on user position and the clustered synthesis,Science and Technology for the Built Environment
2-s2.0-86000372255,10.1080/19401493.2024.2432915,https://doi.org/10.1080/19401493.2024.2432915,LiDICS: a light dynamics interface for multi-domain simulation based on the FMI-standard,Journal of Building Performance Simulation
2-s2.0-105007299259,10.1080/24751448.2025.2475720,https://doi.org/10.1080/24751448.2025.2475720,A Framework for Energy and Thermal Performance Modeling in Net-Zero Urban Clusters,Technology Architecture and Design
2-s2.0-86000382132,10.1080/19401493.2024.2432916,https://doi.org/10.1080/19401493.2024.2432916,"Parametric design workflow for solar, context-adaptive and reusable facades in changing urban environments",Journal of Building Performance Simulation
2-s2.0-105018060394,10.1080/17452007.2025.2548549,https://doi.org/10.1080/17452007.2025.2548549,ETFE-foils in pneumatically retractable civil engineering structures,Architectural Engineering and Design Management
2-s2.0-105023682057,10.1080/17452759.2025.2591322,https://doi.org/10.1080/17452759.2025.2591322,Rice husk 4D printing in architecture: hygromorphic bi-directional self-shaping building skin,Virtual and Physical Prototyping
2-s2.0-105009507103,10.1080/23744731.2025.2511560,https://doi.org/10.1080/23744731.2025.2511560,Parametric model development for building input variables for lighting and shading controls for different building form factors,Science and Technology for the Built Environment
2-s2.0-105013473853,10.1080/00038628.2025.2545320,https://doi.org/10.1080/00038628.2025.2545320,Examining thermal comfort in open spaces in higher education settings in hot climate regions–Mosul as a case study,Architectural Science Review
2-s2.0-105002213128,10.1080/17452007.2025.2486176,https://doi.org/10.1080/17452007.2025.2486176,Redefining walking: a bio-inspired kinetic architecture,Architectural Engineering and Design Management
2-s2.0-105024853067,10.1080/13467581.2025.2604355,https://doi.org/10.1080/13467581.2025.2604355,Comparative assessment of thermal comfort and energy performance in current and prototype school buildings in Erbil’s hot semiarid climate,Journal of Asian Architecture and Building Engineering
2-s2.0-86000379554,10.1080/17459737.2024.2419079,https://doi.org/10.1080/17459737.2024.2419079,"The envelopes and amplitude fluctuations of consonant intervals and chords, and their inversions, arising in different tuning systems",Journal of Mathematics and Music
2-s2.0-85209575958,10.1080/17508975.2024.2424244,https://doi.org/10.1080/17508975.2024.2424244,Interactive Kinetic Facade with Design for Disassembly (DfD) strategy: improving energy efficiency and circularity of building materials in tropical climate,Intelligent Buildings International
2-s2.0-85177607250,10.1080/00038628.2023.2281401,https://doi.org/10.1080/00038628.2023.2281401,Characterization and modeling of bistable laminates for kinetic shading screens,Architectural Science Review
2-s2.0-85179963403,10.1080/17452007.2023.2287643,https://doi.org/10.1080/17452007.2023.2287643,"Comparison of fast daylighting climate-based simulation methods for parametric design: two-phase, three-phase method and path tracing",Architectural Engineering and Design Management
2-s2.0-85183349906,10.1080/23744731.2023.2299175,https://doi.org/10.1080/23744731.2023.2299175,"Sensitivity analysis of sensor placement in energy-efficient, grid-interactive ready small office buildings with dynamic shading and lighting control",Science and Technology for the Built Environment
2-s2.0-85171674552,10.1080/17452007.2023.2259394,https://doi.org/10.1080/17452007.2023.2259394,A design methodology to consider occupants’ spatial adjustment and manage view content in adaptive façade design for improving visual comfort,Architectural Engineering and Design Management
2-s2.0-85188892702,10.1080/17452007.2024.2328119,https://doi.org/10.1080/17452007.2024.2328119,‘Adaptive office buildings: improving functional flexibility in response to shifting needs using kinetic technology’,Architectural Engineering and Design Management
2-s2.0-85141579593,10.1080/19401493.2022.2142294,https://doi.org/10.1080/19401493.2022.2142294,A novel approach to account for shape-morphing and kinetic shading systems in building energy performance simulations,Journal of Building Performance Simulation
2-s2.0-85145713061,10.1080/13467581.2022.2160636,https://doi.org/10.1080/13467581.2022.2160636,Improving illuminance performance by implementing a kinetic façade system: case study of office building in Dubai,Journal of Asian Architecture and Building Engineering
2-s2.0-85132763551,10.1080/17452007.2022.2085654,https://doi.org/10.1080/17452007.2022.2085654,Integrating performance indicators in the production rules of shape-shifting grammars for architectural adaptive façade systems,Architectural Engineering and Design Management
2-s2.0-85173628216,10.1080/14786451.2023.2248514,https://doi.org/10.1080/14786451.2023.2248514,The impact of a kinetic façade on the lighting performance and energy efficiency of a public building: the case of Dubai frame,International Journal of Sustainable Energy
2-s2.0-85143384479,10.1080/13467581.2022.2145208,https://doi.org/10.1080/13467581.2022.2145208,"Energy-efficient retrofitting with exterior shading device in hot and humid climate–case studies from fully glazed multi-storied office buildings in Chennai, India",Journal of Asian Architecture and Building Engineering
2-s2.0-85137743412,10.1080/19401493.2022.2110287,https://doi.org/10.1080/19401493.2022.2110287,Data-driven numerical models for the prediction of the thermal resistance value of the Enclosed Airspaces (EAs) in building envelopes,Journal of Building Performance Simulation
2-s2.0-85087517310,10.1080/17508975.2020.1765722,https://doi.org/10.1080/17508975.2020.1765722,Towards an implementation of bio-inspired hydro-actuated building façade,Intelligent Buildings International
