eid,doi,doi_url,title,source
2-s2.0-85027232772,10.4028/www.scientific.net/KEM.742.689,https://doi.org/10.4028/www.scientific.net/KEM.742.689,"Fiber-reinforced plastics with locally adapted stiffness for bio-inspired hingeless, deployable architectural systems",Key Engineering Materials
2-s2.0-84891597750,10.4028/www.scientific.net/AMR.855.52,https://doi.org/10.4028/www.scientific.net/AMR.855.52,The impact of the dynamic facade elements on the energy balance of the reference building in winter,Advanced Materials Research
2-s2.0-84887981105,10.4028/www.scientific.net/KEM.572.225,https://doi.org/10.4028/www.scientific.net/KEM.572.225,Parametric camshaft mechanism for adaptive building envelope and kinetic building ornaments,Key Engineering Materials
2-s2.0-84896841578,10.4028/www.scientific.net/AMM.534.125,https://doi.org/10.4028/www.scientific.net/AMM.534.125,Adaptive system development for secondary skin,Applied Mechanics and Materials
2-s2.0-84898864189,10.4028/www.scientific.net/AMM.541-542.954,https://doi.org/10.4028/www.scientific.net/AMM.541-542.954,Potential Analysis of Architectural Application of Solar Energy Resource in Panzhihua,Applied Mechanics and Materials
2-s2.0-84874592305,10.4028/www.scientific.net/AMR.660.222,https://doi.org/10.4028/www.scientific.net/AMR.660.222,Construction of smart building skins with flow and bend split products,Advanced Materials Research
2-s2.0-84871554288,10.4028/www.scientific.net/AMM.232.919,https://doi.org/10.4028/www.scientific.net/AMM.232.919,Adaptive building envelope system using parametric camshaft mechanism for sustainable building,Applied Mechanics and Materials
2-s2.0-84860810606,10.4028/www.scientific.net/AMM.164.85,https://doi.org/10.4028/www.scientific.net/AMM.164.85,A comparative study on building energy performance between movable and fixed shading materials,Applied Mechanics and Materials
2-s2.0-82555201440,10.4028/www.scientific.net/AMM.141.359,https://doi.org/10.4028/www.scientific.net/AMM.141.359,Modeling and simulation of clamp band dynamic envelope in A LV/SC separation system,Applied Mechanics and Materials
2-s2.0-80055022185,10.4028/www.scientific.net/AMM.71-78.621,https://doi.org/10.4028/www.scientific.net/AMM.71-78.621,Kinetic building envelopes for energy efficiency: Modeling and products,Applied Mechanics and Materials
2-s2.0-78651404478,10.4028/www.scientific.net/AMR.163-167.165,https://doi.org/10.4028/www.scientific.net/AMR.163-167.165,Seismic response of cable net facade,Advanced Materials Research
