eid,doi,doi_url,title,source
2-s2.0-85148002346,10.2495/SC220021,https://doi.org/10.2495/SC220021,SMART MATERIALS AND ADAPTIVE BUILDING ENVELOPES AS AN APPROACH FOR REDUCING ENERGY CONSUMPTION IN EGYPT: A LITERATURE REVIEW,Wit Transactions on Ecology and the Environment
2-s2.0-85148018129,10.2495/SC220241,https://doi.org/10.2495/SC220241,COMPOSITE INDICATORS FOR ASSESSING THE CARBON EMISSION REDUCTION ON BIO-ECO-RESILIENCE OF RESIDENTIAL BUILDINGS,Wit Transactions on Ecology and the Environment
2-s2.0-85149115511,10.2495/CMEM-V10-N4-314-328,https://doi.org/10.2495/CMEM-V10-N4-314-328,OPTIMIZATION OF AN ADAPTIVE ALGAE FAÇADE BASED ON SOLAR RADIATION SIMULATION,International Journal of Computational Methods and Experimental Measurements
2-s2.0-85121792665,10.2495/SC210331,https://doi.org/10.2495/SC210331,RESPONSIVE FAÇADES DESIGN USING NANOMATERIALS for OPTIMIZING BUILDINGS' ENERGY PERFORMANCE,Wit Transactions on Ecology and the Environment
2-s2.0-85062462263,10.2495/ARC180121,https://doi.org/10.2495/ARC180121,A shape grammar approach to climatically adaptable façade systems with real time performance evaluation,Wit Transactions on the Built Environment
2-s2.0-85070240714,10.2495/CMEM-V5-N4-607-618,https://doi.org/10.2495/CMEM-V5-N4-607-618,"Kinetic behavior, the dynamic potential through architecture and design",International Journal of Computational Methods and Experimental Measurements
2-s2.0-84907056781,10.2495/ARC140281,https://doi.org/10.2495/ARC140281,Contribution of linear thermal bridges to the overall thermal performance of the building envelope: Dynamic analysis,Wit Transactions on the Built Environment
2-s2.0-84903122488,10.2495/MAR140121,https://doi.org/10.2495/MAR140121,The design and physical modelling of deployable structures based on curved-line folding,Wit Transactions on the Built Environment
2-s2.0-84897866302,10.2495/EQ140501,https://doi.org/10.2495/EQ140501,Development of an integrated passive cooling façade technology for office buildings in hot arid regions,Wit Transactions on Ecology and the Environment
2-s2.0-84870494719,10.2495/SU120261,https://doi.org/10.2495/SU120261,Progressive collapse analysis of a high-rise building considering the effect of an outriggerbelt lateral load resisting system,Wit Transactions on the Built Environment
2-s2.0-84865759357,10.2495/HPSM120441,https://doi.org/10.2495/HPSM120441,Analysing the applicability of deployable scissor structures in responsive building skins,Wit Transactions on the Built Environment
2-s2.0-84865532062,10.2495/SDP110181,https://doi.org/10.2495/SDP110181,Integrating passive cooling techniques for sustainable building performance in hot climates with reference to the UAE,Wit Transactions on Ecology and the Environment
2-s2.0-78449270430,10.2495/DN100451,https://doi.org/10.2495/DN100451,Skin in architecture: Towards bioinspired facades,Wit Transactions on Ecology and the Environment
2-s2.0-78449292725,10.2495/DN100441,https://doi.org/10.2495/DN100441,Challenging the engineering view: Comparative analysis of technological and biological functions targeting energy efficient facade systems,Wit Transactions on Ecology and the Environment
2-s2.0-72049123736,10.2495/STR090311,https://doi.org/10.2495/STR090311,Non-destructive methods as a tool in the assessment of monumental buildings condition,Wit Transactions on the Built Environment
