eid,doi,doi_url,title,source
2-s2.0-105039957234,10.1073/pnas.2535522123,https://doi.org/10.1073/pnas.2535522123,Indoor thermoregulatory homeostasis using hydrodynamic instability,Proceedings of the National Academy of Sciences of the United States of America
2-s2.0-105036503017,10.1115/1.4071458,https://doi.org/10.1115/1.4071458,Artificial Intelligence-Driven Adaptive Facade Systems in High-Rise Buildings: A Study on Integrating Machine Learning With Real-Time Environmental Data to Optimize Energy Efficiency,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-105038219631,10.1093/jcde/qwag038,https://doi.org/10.1093/jcde/qwag038,Predictive collective control of large-scale kinetic facades via graph neural networks and reinforcement learning: From simulation to physical validation,Journal of Computational Design and Engineering
2-s2.0-105038361506,10.63044/w26xio184,https://doi.org/10.63044/w26xio184,Environmentally Responsive Shading Structures with Sensor-Based Prefabricated Mechanical Systems,ASHRAE Transactions
2-s2.0-105028227685,10.1126/scirobotics.ady7233,https://doi.org/10.1126/scirobotics.ady7233,Architectural swarms for responsive façades and creative expression,Science Robotics
2-s2.0-105030534261,10.1108/sasbe-05-2025-0218,https://doi.org/10.1108/sasbe-05-2025-0218,From nature to structure: advancing building efficiency with biomimicry-inspired green façades,Smart and Sustainable Built Environment
2-s2.0-105029057963,10.2478/czoto-2025-0048,https://doi.org/10.2478/czoto-2025-0048,SYSTEM SAFETY OF FAÇADE SCAFFOLDING: ACHIEVING ACCEPTABLE DYNAMIC PERFORMANCE THROUGH ANCHORAGE AND BRACING DESIGN,System Safety Human Technical Facility Environment
2-s2.0-105024465578,10.14358/pers.25-00037r3,https://doi.org/10.14358/pers.25-00037r3,Joint Detection and Parameters Regression of Detailed Windows based on Facade Textures via an Adaptive Soft Teacher,Photogrammetric Engineering and Remote Sensing
2-s2.0-105015518906,10.1115/1.4069135,https://doi.org/10.1115/1.4069135,Energy Benefits of Retrofitting Residential Communities: Case Study of KAUST Villa Housing Community,Journal of Engineering for Sustainable Buildings and Cities
2-s2.0-105023120949,10.17973/mmsj.2025_11_2025073,https://doi.org/10.17973/mmsj.2025_11_2025073,OPTIMIZATION OF LIGHTING SYSTEMS FOR INCREASING ENERGY EFFICIENCY OF PUBLIC BUILDINGS,Mm Science Journal
2-s2.0-105037937283,10.31026/j.eng.2025.11.10,https://doi.org/10.31026/j.eng.2025.11.10,Technological Activation of Building Envelopes to Achieve Environmental Comfort,Journal of Engineering Iraq
2-s2.0-105022447125,10.21608/auej.2025.382274.1833,https://doi.org/10.21608/auej.2025.382274.1833,APPLICATION OF BIOMIMETIC FACADES FOR A MORE SUSTAINABLE FUTURE,Journal of Al Azhar University Engineering Sector
2-s2.0-105018226817,10.35784/bud-arch.7102,https://doi.org/10.35784/bud-arch.7102,"Simulation-based performance evaluation of kinetic Mashrabiya for thermal comfort and energy efficiency in arid climates: A case study in Biskra, Algeria",Budownictwo I Architektura
2-s2.0-105021299672,10.18280/ijdne.200914,https://doi.org/10.18280/ijdne.200914,Simulation-Based Evaluation of Bio-Inspired Wall Materials for Energy-Efficient Prefabricated Housing in Hot-Arid Climates,International Journal of Design and Nature and Ecodynamics
2-s2.0-105014965797,10.1115/1.4068810,https://doi.org/10.1115/1.4068810,"Parametric Design of Tessellated Geometric Kinetic Façade for Daylighting and Glare Control in a High-Rise Hospital Building in Amman, Jordan",Journal of Engineering for Sustainable Buildings and Cities
