eid,doi,doi_url,title,source
2-s2.0-85200678485,10.1177/14780771241270265,https://doi.org/10.1177/14780771241270265,From theory to practice: Truchet tile as a computational visual coding approach for facade visualization,International Journal of Architectural Computing
2-s2.0-105001090112,10.1177/01436244241306595,https://doi.org/10.1177/01436244241306595,A comparison between the impact of dynamic envelope control strategies on the buildings’ smart readiness indicator and modelled performance,Building Services Engineering Research and Technology
2-s2.0-85175971133,10.1177/14780771231209457,https://doi.org/10.1177/14780771231209457,Morphological composition assessment of kinetic façade designs via AHP and TOPSIS methods based on façade components and design inputs,International Journal of Architectural Computing
2-s2.0-85207060228,10.1177/01436244241264273,https://doi.org/10.1177/01436244241264273,Improving energy consumption for dynamic intake and exhaust FAÇADES: A new setup design: Part B,Building Services Engineering Research and Technology
2-s2.0-85181717522,10.1177/17442591231219793,https://doi.org/10.1177/17442591231219793,Multi-objective optimization of kinetic facade aperture ratios for daylight and solar radiation control,Journal of Building Physics
2-s2.0-85211010181,10.1177/0958305x241300428,https://doi.org/10.1177/0958305x241300428,Critical analysis of smart materials in adaptive transparent systems for building façade,Energy and Environment
2-s2.0-85159069028,10.1177/23998083231171398,https://doi.org/10.1177/23998083231171398,Hybrid quantitative mesoscale analyses for simulating pedestrians’ visual perceptions: Comparison of three New York City streets,Environment and Planning B Urban Analytics and City Science
2-s2.0-85147506039,10.1177/01436244231153839,https://doi.org/10.1177/01436244231153839,Assessing the performance gap of two dynamic thermal modelling software tools when comparing with real-time data in relation to thermal loss,Building Services Engineering Research and Technology
2-s2.0-85123505986,10.1177/1045389x211072202,https://doi.org/10.1177/1045389x211072202,Modeling and design optimization of shape memory alloy-enabled building skins for adaptive ventilation,Journal of Intelligent Material Systems and Structures
2-s2.0-85116884931,10.1177/1420326x211050114,https://doi.org/10.1177/1420326x211050114,Solar radiation control passive strategy for reduction of heating and cooling energy use in arid climate: Case of Afghanistan,Indoor and Built Environment
2-s2.0-85116068103,10.1177/17442591211045418,https://doi.org/10.1177/17442591211045418,Adaptive opaque façades and their potential to reduce thermal energy use in residential buildings: A simulation-based evaluation,Journal of Building Physics
2-s2.0-85079369642,10.1177/1420326x20903082,https://doi.org/10.1177/1420326x20903082,"Biophilic, photobiological and energy-efficient design framework of adaptive building façades for Northern Canada",Indoor and Built Environment
2-s2.0-85077167867,10.1177/1478077119891840,https://doi.org/10.1177/1478077119891840,Development of a hybrid behavioural and thermal adaptive building envelope,International Journal of Architectural Computing
2-s2.0-85075131861,10.1177/1478077119886528,https://doi.org/10.1177/1478077119886528,Hybrid design method for wind-adaptive architecture,International Journal of Architectural Computing
2-s2.0-85062466985,10.1177/0020294019830115,https://doi.org/10.1177/0020294019830115,Determination of the flight dynamic envelope via stable manifold,Measurement and Control United Kingdom
2-s2.0-85045104638,10.1177/0040517517729385,https://doi.org/10.1177/0040517517729385,"Multifunctional components from carbon concrete composite C3 – integrated, textile-based sensor solutions for in situ structural monitoring of adaptive building envelopes",Textile Research Journal
2-s2.0-85047517360,10.1177/1477153516675392,https://doi.org/10.1177/1477153516675392,"Prototyping a façade-mounted, dynamic, dual-axis daylight redirection system",Lighting Research and Technology
2-s2.0-84942088214,10.1177/1420326x14536066,https://doi.org/10.1177/1420326x14536066,The effects of direct sunlight on light shelf performance under tropical sky,Indoor and Built Environment
2-s2.0-84898814645,10.1177/1744259113496388,https://doi.org/10.1177/1744259113496388,Numerical evaluation of a phase change material-shutter using solar energy for winter nighttime indoor heating,Journal of Building Physics
2-s2.0-84899018727,10.1177/0143624413490177,https://doi.org/10.1177/0143624413490177,Effect of building envelope on thermal environmental conditions of a naturally ventilated building block in tropical climate,Building Services Engineering Research and Technology
2-s2.0-35348880855,10.1177/1420326x07082497,https://doi.org/10.1177/1420326x07082497,Determining photosensor conditions of a daylight dimming control system using different double-skin envelope configurations,Indoor and Built Environment
2-s2.0-84970417746,10.1177/109719639501800306,https://doi.org/10.1177/109719639501800306,Dynamic Evaluation of the Building Envelope for Wind and Wind-Driven Rain Performance,Journal of Thermal Envelope and Building Science
2-s2.0-0029235106,10.1177/109719639501800306,https://doi.org/10.1177/109719639501800306,Dynamic evaluation of the building envelope for wind and wind-driven rain performance,Journal of Thermal Insulation and Building Envelopes
