doi,doi_url
10.1145/3734921.3734943,https://doi.org/10.1145/3734921.3734943
10.1145/3706598.3714064,https://doi.org/10.1145/3706598.3714064
10.1145/3680528.3687657,https://doi.org/10.1145/3680528.3687657
10.1145/3613904.3642465,https://doi.org/10.1145/3613904.3642465
10.1145/3555568,https://doi.org/10.1145/3555568
10.1145/3363459.3363538,https://doi.org/10.1145/3363459.3363538
10.1145/3137133.3141442,https://doi.org/10.1145/3137133.3141442
10.1145/3024969.3024981,https://doi.org/10.1145/3024969.3024981
10.1145/2611009.2611036,https://doi.org/10.1145/2611009.2611036
10.1145/2559206.2581286,https://doi.org/10.1145/2559206.2581286
