doi,doi_url
10.1016/j.jobe.2023.107521,https://doi.org/10.1016/j.jobe.2023.107521
10.1016/j.enbuild.2023.113432,https://doi.org/10.1016/j.enbuild.2023.113432
10.1016/j.scs.2023.104740,https://doi.org/10.1016/j.scs.2023.104740
10.1016/j.jobe.2023.106995,https://doi.org/10.1016/j.jobe.2023.106995
10.1016/j.enbuild.2023.113391,https://doi.org/10.1016/j.enbuild.2023.113391
10.1016/j.foar.2023.05.010,https://doi.org/10.1016/j.foar.2023.05.010
10.1016/j.enbuild.2023.113320,https://doi.org/10.1016/j.enbuild.2023.113320
10.1016/j.buildenv.2023.110751,https://doi.org/10.1016/j.buildenv.2023.110751
10.1016/j.energy.2023.128052,https://doi.org/10.1016/j.energy.2023.128052
10.1016/j.rser.2023.113458,https://doi.org/10.1016/j.rser.2023.113458
10.1016/j.istruc.2023.06.070,https://doi.org/10.1016/j.istruc.2023.06.070
