doi,doi_url
10.1016/j.enbuild.2021.110787,https://doi.org/10.1016/j.enbuild.2021.110787
10.1016/j.enbuild.2021.110798,https://doi.org/10.1016/j.enbuild.2021.110798
10.1016/j.solener.2021.01.059,https://doi.org/10.1016/j.solener.2021.01.059
10.1016/j.cad.2020.102988,https://doi.org/10.1016/j.cad.2020.102988
10.1016/j.enbuild.2021.110739,https://doi.org/10.1016/j.enbuild.2021.110739
10.1016/j.energy.2020.119557,https://doi.org/10.1016/j.energy.2020.119557
10.1016/j.buildenv.2020.107570,https://doi.org/10.1016/j.buildenv.2020.107570
10.1016/j.jobe.2020.102113,https://doi.org/10.1016/j.jobe.2020.102113
10.1016/j.asej.2020.07.007,https://doi.org/10.1016/j.asej.2020.07.007
10.1016/j.applthermaleng.2020.116331,https://doi.org/10.1016/j.applthermaleng.2020.116331
10.1016/j.autcon.2020.103464,https://doi.org/10.1016/j.autcon.2020.103464
