doi,doi_url
10.1016/j.enbuild.2021.111650,https://doi.org/10.1016/j.enbuild.2021.111650
10.1016/j.buildenv.2021.108624,https://doi.org/10.1016/j.buildenv.2021.108624
10.1016/j.enbuild.2021.111546,https://doi.org/10.1016/j.enbuild.2021.111546
10.1016/j.jobe.2021.103384,https://doi.org/10.1016/j.jobe.2021.103384
10.1016/B978-0-12-821053-6.00007-2,https://doi.org/10.1016/B978-0-12-821053-6.00007-2
10.1016/j.foar.2021.07.004,https://doi.org/10.1016/j.foar.2021.07.004
10.1016/j.mtener.2021.100874,https://doi.org/10.1016/j.mtener.2021.100874
10.1016/j.solener.2021.10.062,https://doi.org/10.1016/j.solener.2021.10.062
10.1016/j.jobe.2021.102683,https://doi.org/10.1016/j.jobe.2021.102683
10.1016/j.rser.2021.111615,https://doi.org/10.1016/j.rser.2021.111615
10.1016/j.enbuild.2021.111342,https://doi.org/10.1016/j.enbuild.2021.111342
