doi,doi_url
10.1016/j.solener.2021.06.012,https://doi.org/10.1016/j.solener.2021.06.012
10.1016/j.solener.2021.06.035,https://doi.org/10.1016/j.solener.2021.06.035
10.1016/j.rser.2021.111135,https://doi.org/10.1016/j.rser.2021.111135
10.1016/j.apenergy.2021.116904,https://doi.org/10.1016/j.apenergy.2021.116904
10.1016/j.jobe.2021.102244,https://doi.org/10.1016/j.jobe.2021.102244
10.1016/j.solener.2021.04.033,https://doi.org/10.1016/j.solener.2021.04.033
10.1016/j.jweia.2021.104586,https://doi.org/10.1016/j.jweia.2021.104586
10.1016/j.solener.2021.03.065,https://doi.org/10.1016/j.solener.2021.03.065
10.1016/j.jweia.2021.104601,https://doi.org/10.1016/j.jweia.2021.104601
10.1016/j.tsep.2020.100812,https://doi.org/10.1016/j.tsep.2020.100812
10.1016/j.jclepro.2021.126117,https://doi.org/10.1016/j.jclepro.2021.126117
