doi,doi_url
10.1016/j.rser.2025.115586,https://doi.org/10.1016/j.rser.2025.115586
10.1016/j.egyr.2025.04.064,https://doi.org/10.1016/j.egyr.2025.04.064
10.1016/j.enbuild.2025.115594,https://doi.org/10.1016/j.enbuild.2025.115594
10.1016/j.enbuild.2025.115546,https://doi.org/10.1016/j.enbuild.2025.115546
10.1016/j.jobe.2025.111813,https://doi.org/10.1016/j.jobe.2025.111813
10.1016/j.jobe.2025.111943,https://doi.org/10.1016/j.jobe.2025.111943
10.1016/j.enbuild.2025.115491,https://doi.org/10.1016/j.enbuild.2025.115491
10.1016/j.enbuild.2025.115488,https://doi.org/10.1016/j.enbuild.2025.115488
10.1016/j.solener.2025.113268,https://doi.org/10.1016/j.solener.2025.113268
10.1016/j.jobe.2024.111701,https://doi.org/10.1016/j.jobe.2024.111701
10.1016/j.foar.2024.08.002,https://doi.org/10.1016/j.foar.2024.08.002
