doi,doi_url
10.1016/j.renene.2024.121124,https://doi.org/10.1016/j.renene.2024.121124
10.1016/j.epsr.2024.110728,https://doi.org/10.1016/j.epsr.2024.110728
10.1016/j.spc.2024.07.004,https://doi.org/10.1016/j.spc.2024.07.004
10.1016/j.seta.2024.103914,https://doi.org/10.1016/j.seta.2024.103914
10.1016/j.engstruct.2024.118367,https://doi.org/10.1016/j.engstruct.2024.118367
10.1016/j.buildenv.2024.111816,https://doi.org/10.1016/j.buildenv.2024.111816
10.1016/j.buildenv.2024.111818,https://doi.org/10.1016/j.buildenv.2024.111818
10.1016/j.applthermaleng.2024.123552,https://doi.org/10.1016/j.applthermaleng.2024.123552
10.1016/j.jobe.2024.109322,https://doi.org/10.1016/j.jobe.2024.109322
10.1016/j.eng.2024.01.014,https://doi.org/10.1016/j.eng.2024.01.014
10.1016/j.ast.2024.109267,https://doi.org/10.1016/j.ast.2024.109267
