doi,doi_url
10.1016/S0378-7788(01)00116-5,https://doi.org/10.1016/S0378-7788(01)00116-5
10.1016/s0960-1481(98)00190-6,https://doi.org/10.1016/s0960-1481(98)00190-6
10.1016/s0378-7788(98)00023-1,https://doi.org/10.1016/s0378-7788(98)00023-1
10.1016/s0378-7788(98)00035-8,https://doi.org/10.1016/s0378-7788(98)00035-8
10.1016/S0038-092X(96)00112-0,https://doi.org/10.1016/S0038-092X(96)00112-0
10.1016/0360-1323(96)00022-4,https://doi.org/10.1016/0360-1323(96)00022-4
10.1016/0168-1923(95)02246-5,https://doi.org/10.1016/0168-1923(95)02246-5
10.1016/0097-8493(95)00044-5,https://doi.org/10.1016/0097-8493(95)00044-5
10.1016/0360-1323(94)90049-3,https://doi.org/10.1016/0360-1323(94)90049-3
10.1016/0165-1889(91)90018-V,https://doi.org/10.1016/0165-1889(91)90018-V
