doi,doi_url
10.1016/j.solener.2020.05.087,https://doi.org/10.1016/j.solener.2020.05.087
10.1016/j.enbuild.2020.110020,https://doi.org/10.1016/j.enbuild.2020.110020
10.1016/j.enbuild.2020.110050,https://doi.org/10.1016/j.enbuild.2020.110050
10.1016/j.jclepro.2020.120708,https://doi.org/10.1016/j.jclepro.2020.120708
10.1016/j.buildenv.2020.106880,https://doi.org/10.1016/j.buildenv.2020.106880
10.1016/j.enbuild.2020.109968,https://doi.org/10.1016/j.enbuild.2020.109968
10.1016/j.foar.2019.10.004,https://doi.org/10.1016/j.foar.2019.10.004
10.1016/j.autcon.2020.103151,https://doi.org/10.1016/j.autcon.2020.103151
10.1016/j.buildenv.2020.106801,https://doi.org/10.1016/j.buildenv.2020.106801
10.1016/j.apenergy.2020.114797,https://doi.org/10.1016/j.apenergy.2020.114797
10.1016/j.solener.2020.03.017,https://doi.org/10.1016/j.solener.2020.03.017
