doi,doi_url
10.1016/j.enbuild.2025.116940,https://doi.org/10.1016/j.enbuild.2025.116940
10.1016/j.istruc.2026.111089,https://doi.org/10.1016/j.istruc.2026.111089
10.1016/j.solener.2025.114279,https://doi.org/10.1016/j.solener.2025.114279
10.1016/j.enbuild.2025.116895,https://doi.org/10.1016/j.enbuild.2025.116895
10.1016/j.enbuild.2025.116861,https://doi.org/10.1016/j.enbuild.2025.116861
10.1016/j.buildenv.2025.114018,https://doi.org/10.1016/j.buildenv.2025.114018
10.1016/j.enbuild.2025.116801,https://doi.org/10.1016/j.enbuild.2025.116801
10.1016/j.buildenv.2025.114051,https://doi.org/10.1016/j.buildenv.2025.114051
10.1016/j.jobe.2026.115230,https://doi.org/10.1016/j.jobe.2026.115230
10.1016/j.jvscit.2025.102015,https://doi.org/10.1016/j.jvscit.2025.102015
10.1016/j.enbuild.2025.116753,https://doi.org/10.1016/j.enbuild.2025.116753
