doi,doi_url
10.1016/j.autcon.2020.103113,https://doi.org/10.1016/j.autcon.2020.103113
10.1016/j.rser.2020.109719,https://doi.org/10.1016/j.rser.2020.109719
10.1016/j.energy.2020.117190,https://doi.org/10.1016/j.energy.2020.117190
10.1016/j.mechrescom.2020.103503,https://doi.org/10.1016/j.mechrescom.2020.103503
10.1016/j.enbuild.2020.109762,https://doi.org/10.1016/j.enbuild.2020.109762
10.1016/j.enbuild.2019.109661,https://doi.org/10.1016/j.enbuild.2019.109661
10.1016/j.promfg.2020.02.212,https://doi.org/10.1016/j.promfg.2020.02.212
10.1016/B978-0-12-819481-2.00012-X,https://doi.org/10.1016/B978-0-12-819481-2.00012-X
10.1016/j.energy.2019.116448,https://doi.org/10.1016/j.energy.2019.116448
10.1016/j.promfg.2020.02.238,https://doi.org/10.1016/j.promfg.2020.02.238
10.1016/j.ifacol.2020.12.1585,https://doi.org/10.1016/j.ifacol.2020.12.1585
