doi,doi_url
10.1016/j.jobe.2022.105498,https://doi.org/10.1016/j.jobe.2022.105498
10.1016/j.tws.2022.109941,https://doi.org/10.1016/j.tws.2022.109941
10.1016/j.buildenv.2022.109704,https://doi.org/10.1016/j.buildenv.2022.109704
10.1016/j.enbuild.2022.112495,https://doi.org/10.1016/j.enbuild.2022.112495
10.1016/j.jobe.2022.105233,https://doi.org/10.1016/j.jobe.2022.105233
10.1016/j.foar.2022.05.006,https://doi.org/10.1016/j.foar.2022.05.006
10.1016/j.ecmx.2022.100315,https://doi.org/10.1016/j.ecmx.2022.100315
10.1016/j.egyr.2022.10.222,https://doi.org/10.1016/j.egyr.2022.10.222
10.1016/j.scs.2022.104109,https://doi.org/10.1016/j.scs.2022.104109
10.1016/j.rser.2022.112850,https://doi.org/10.1016/j.rser.2022.112850
10.1016/j.tws.2022.109749,https://doi.org/10.1016/j.tws.2022.109749
