doi,doi_url
10.1016/j.jobe.2021.103942,https://doi.org/10.1016/j.jobe.2021.103942
10.1016/j.buildenv.2022.108907,https://doi.org/10.1016/j.buildenv.2022.108907
10.1016/j.energy.2021.122778,https://doi.org/10.1016/j.energy.2021.122778
10.1016/j.applthermaleng.2021.117923,https://doi.org/10.1016/j.applthermaleng.2021.117923
10.1016/j.buildenv.2021.108703,https://doi.org/10.1016/j.buildenv.2021.108703
10.1016/j.seta.2021.101878,https://doi.org/10.1016/j.seta.2021.101878
10.1016/j.mattod.2021.10.029,https://doi.org/10.1016/j.mattod.2021.10.029
10.1016/j.buildenv.2021.108700,https://doi.org/10.1016/j.buildenv.2021.108700
10.1016/j.buildenv.2021.108650,https://doi.org/10.1016/j.buildenv.2021.108650
10.1016/j.enbuild.2021.111679,https://doi.org/10.1016/j.enbuild.2021.111679
10.1016/j.buildenv.2021.108634,https://doi.org/10.1016/j.buildenv.2021.108634
