doi,doi_url
10.1016/j.scs.2019.101782,https://doi.org/10.1016/j.scs.2019.101782
10.1016/j.apenergy.2019.113506,https://doi.org/10.1016/j.apenergy.2019.113506
10.1016/j.engstruct.2019.109415,https://doi.org/10.1016/j.engstruct.2019.109415
10.1016/j.autcon.2019.102857,https://doi.org/10.1016/j.autcon.2019.102857
10.1016/j.enbuild.2019.07.004,https://doi.org/10.1016/j.enbuild.2019.07.004
10.1016/j.solener.2019.07.027,https://doi.org/10.1016/j.solener.2019.07.027
10.1016/j.foar.2019.06.001,https://doi.org/10.1016/j.foar.2019.06.001
10.1016/j.jobe.2019.100797,https://doi.org/10.1016/j.jobe.2019.100797
10.1016/j.jobe.2019.02.013,https://doi.org/10.1016/j.jobe.2019.02.013
10.1016/j.buildenv.2019.106183,https://doi.org/10.1016/j.buildenv.2019.106183
10.1016/j.tej.2019.106624,https://doi.org/10.1016/j.tej.2019.106624
