doi,doi_url
10.1016/j.applthermaleng.2024.122610,https://doi.org/10.1016/j.applthermaleng.2024.122610
10.1016/j.jobe.2023.108227,https://doi.org/10.1016/j.jobe.2023.108227
10.1016/j.dibe.2024.100372,https://doi.org/10.1016/j.dibe.2024.100372
10.1016/j.enbenv.2022.09.004,https://doi.org/10.1016/j.enbenv.2022.09.004
10.1016/j.matdes.2024.112807,https://doi.org/10.1016/j.matdes.2024.112807
10.1016/j.jweia.2024.105667,https://doi.org/10.1016/j.jweia.2024.105667
10.1016/j.apples.2023.100174,https://doi.org/10.1016/j.apples.2023.100174
10.1016/j.buildenv.2023.111123,https://doi.org/10.1016/j.buildenv.2023.111123
10.1016/j.buildenv.2023.111095,https://doi.org/10.1016/j.buildenv.2023.111095
10.1016/j.buildenv.2023.111052,https://doi.org/10.1016/j.buildenv.2023.111052
10.1016/j.enconman.2023.117907,https://doi.org/10.1016/j.enconman.2023.117907
