doi,doi_url
10.1016/j.autcon.2026.107051,https://doi.org/10.1016/j.autcon.2026.107051
10.1016/j.enbuild.2026.117682,https://doi.org/10.1016/j.enbuild.2026.117682
10.1016/j.enbuild.2026.117660,https://doi.org/10.1016/j.enbuild.2026.117660
10.1016/j.foar.2025.09.007,https://doi.org/10.1016/j.foar.2025.09.007
10.1016/j.buildenv.2026.114752,https://doi.org/10.1016/j.buildenv.2026.114752
10.1016/j.energy.2026.141160,https://doi.org/10.1016/j.energy.2026.141160
10.1016/j.buildenv.2026.114718,https://doi.org/10.1016/j.buildenv.2026.114718
10.1016/j.energy.2026.141166,https://doi.org/10.1016/j.energy.2026.141166
10.1016/j.susmat.2026.e01957,https://doi.org/10.1016/j.susmat.2026.e01957
10.1016/j.buildenv.2026.114744,https://doi.org/10.1016/j.buildenv.2026.114744
10.1016/j.applthermaleng.2026.131205,https://doi.org/10.1016/j.applthermaleng.2026.131205
