doi,doi_url
10.1109/ICCIS.2015.7274607,https://doi.org/10.1109/ICCIS.2015.7274607
10.1109/LMWC.2015.2440652,https://doi.org/10.1109/LMWC.2015.2440652
10.1109/ACC.2015.7171091,https://doi.org/10.1109/ACC.2015.7171091
10.1109/WAMICON.2015.7120372,https://doi.org/10.1109/WAMICON.2015.7120372
10.1109/ISICIR.2014.7029564,https://doi.org/10.1109/ISICIR.2014.7029564
10.1109/IAS.2014.6978480,https://doi.org/10.1109/IAS.2014.6978480
10.1109/CVPR.2014.410,https://doi.org/10.1109/CVPR.2014.410
10.1109/EEEIC.2014.6835853,https://doi.org/10.1109/EEEIC.2014.6835853
10.1109/IGBSG.2014.6835241,https://doi.org/10.1109/IGBSG.2014.6835241
10.1109/IE.2013.23,https://doi.org/10.1109/IE.2013.23
