doi,doi_url
10.1109/MWSYM.2005.1516992,https://doi.org/10.1109/MWSYM.2005.1516992
10.1109/TCSII.2003.820237,https://doi.org/10.1109/TCSII.2003.820237
10.1109/IPDPS.2003.1213269,https://doi.org/10.1109/IPDPS.2003.1213269
10.1109/TSP.2002.1003066,https://doi.org/10.1109/TSP.2002.1003066
10.1109/81.922471,https://doi.org/10.1109/81.922471
10.1109/82.917789,https://doi.org/10.1109/82.917789
10.1109/MWSYM.2001.967189,https://doi.org/10.1109/MWSYM.2001.967189
10.1109/ISCAS.2000.858694,https://doi.org/10.1109/ISCAS.2000.858694
10.1109/MWSYM.2000.863319,https://doi.org/10.1109/MWSYM.2000.863319
10.1109/81.538993,https://doi.org/10.1109/81.538993
