doi,doi_url
10.1109/WSC.2017.8247978,https://doi.org/10.1109/WSC.2017.8247978
10.1109/IFWS.2017.8245973,https://doi.org/10.1109/IFWS.2017.8245973
10.1109/ICIS.2017.7960082,https://doi.org/10.1109/ICIS.2017.7960082
10.1109/POWERCON.2016.7754039,https://doi.org/10.1109/POWERCON.2016.7754039
10.1109/ICAIPR.2016.7585202,https://doi.org/10.1109/ICAIPR.2016.7585202
10.1109/EEEIC.2016.7555768,https://doi.org/10.1109/EEEIC.2016.7555768
10.1109/LMWC.2016.2574825,https://doi.org/10.1109/LMWC.2016.2574825
10.1109/ICRA.2016.7487700,https://doi.org/10.1109/ICRA.2016.7487700
10.1109/MIAS.2015.2459097,https://doi.org/10.1109/MIAS.2015.2459097
10.1109/WF-IoT.2016.7845436,https://doi.org/10.1109/WF-IoT.2016.7845436
10.1109/EDPC.2016.7851338,https://doi.org/10.1109/EDPC.2016.7851338
