doi,doi_url
10.1109/SCIoT62588.2024.10570109,https://doi.org/10.1109/SCIoT62588.2024.10570109
10.1109/PVSC57443.2024.10748886,https://doi.org/10.1109/PVSC57443.2024.10748886
10.1109/PVSC57443.2024.10749295,https://doi.org/10.1109/PVSC57443.2024.10749295
10.1109/CISAT62382.2024.10695424,https://doi.org/10.1109/CISAT62382.2024.10695424
10.1109/SmartCities4.056956.2023.10525757,https://doi.org/10.1109/SmartCities4.056956.2023.10525757
10.1109/ICKII58656.2023.10332659,https://doi.org/10.1109/ICKII58656.2023.10332659
10.1109/AIKIIE60097.2023.10389818,https://doi.org/10.1109/AIKIIE60097.2023.10389818
10.1109/SeFeT57834.2023.10245966,https://doi.org/10.1109/SeFeT57834.2023.10245966
10.1109/BlackSeaCom58138.2023.10299692,https://doi.org/10.1109/BlackSeaCom58138.2023.10299692
10.1109/CW55638.2022.00011,https://doi.org/10.1109/CW55638.2022.00011
10.1109/ACIT54803.2022.9913105,https://doi.org/10.1109/ACIT54803.2022.9913105
