doi,doi_url
10.1109/CEWIT.2012.6606981,https://doi.org/10.1109/CEWIT.2012.6606981
10.1109/IE.2011.64,https://doi.org/10.1109/IE.2011.64
10.1109/CESCE.2010.285,https://doi.org/10.1109/CESCE.2010.285
10.1109/MACE.2010.5535819,https://doi.org/10.1109/MACE.2010.5535819
10.1109/APPEEC.2010.5449511,https://doi.org/10.1109/APPEEC.2010.5449511
10.1109/VR.2010.5444760,https://doi.org/10.1109/VR.2010.5444760
10.1109/ComputationWorld.2009.24,https://doi.org/10.1109/ComputationWorld.2009.24
10.1109/CSSim.2009.53,https://doi.org/10.1109/CSSim.2009.53
10.1109/MWSYM.2008.4633153,https://doi.org/10.1109/MWSYM.2008.4633153
10.1109/IMSCCS.2007.4392657,https://doi.org/10.1109/IMSCCS.2007.4392657
