doi,doi_url
10.1088/1755-1315/126/1/012023,https://doi.org/10.1088/1755-1315/126/1/012023
10.1088/1755-1315/109/1/012039,https://doi.org/10.1088/1755-1315/109/1/012039
10.1088/1748-3190/aa979c,https://doi.org/10.1088/1748-3190/aa979c
10.1088/1361-665X/aa9c2f,https://doi.org/10.1088/1361-665X/aa9c2f
10.1088/1757-899X/245/4/042073,https://doi.org/10.1088/1757-899X/245/4/042073
10.1088/1748-3190/12/1/011001,https://doi.org/10.1088/1748-3190/12/1/011001
10.1088/0964-1726/24/10/105032,https://doi.org/10.1088/0964-1726/24/10/105032
10.1088/0957-0233/25/9/095004,https://doi.org/10.1088/0957-0233/25/9/095004
10.1088/1742-6596/547/1/012013,https://doi.org/10.1088/1742-6596/547/1/012013
10.1088/0964-1726/19/12/124011,https://doi.org/10.1088/0964-1726/19/12/124011
