doi,doi_url
10.1088/1742-6596/2477/1/012027,https://doi.org/10.1088/1742-6596/2477/1/012027
10.1088/1755-1315/992/1/012004,https://doi.org/10.1088/1755-1315/992/1/012004
10.1088/1755-1315/992/1/012005,https://doi.org/10.1088/1755-1315/992/1/012005
10.1088/1361-665X/ac5014,https://doi.org/10.1088/1361-665X/ac5014
10.1088/1755-1315/1099/1/012005,https://doi.org/10.1088/1755-1315/1099/1/012005
10.1088/1755-1315/1113/1/012026,https://doi.org/10.1088/1755-1315/1113/1/012026
10.1088/1742-6596/2069/1/012132,https://doi.org/10.1088/1742-6596/2069/1/012132
10.1088/1742-6596/2069/1/012024,https://doi.org/10.1088/1742-6596/2069/1/012024
10.1088/1742-6596/2069/1/012131,https://doi.org/10.1088/1742-6596/2069/1/012131
10.1088/1742-6596/2069/1/012089,https://doi.org/10.1088/1742-6596/2069/1/012089
