doi,doi_url
10.3390/su16188156,https://doi.org/10.3390/su16188156
10.3390/app14188448,https://doi.org/10.3390/app14188448
10.3390/electronics13173422,https://doi.org/10.3390/electronics13173422
10.3390/buildings14092950,https://doi.org/10.3390/buildings14092950
10.3390/biomimetics9080463,https://doi.org/10.3390/biomimetics9080463
10.3390/su16135697,https://doi.org/10.3390/su16135697
10.3390/su16104217,https://doi.org/10.3390/su16104217
10.3390/buildings14041038,https://doi.org/10.3390/buildings14041038
10.3390/buildings14030596,https://doi.org/10.3390/buildings14030596
10.3390/act13030085,https://doi.org/10.3390/act13030085
10.3390/su16030959,https://doi.org/10.3390/su16030959
