doi,doi_url
10.3390/en16186637,https://doi.org/10.3390/en16186637
10.3390/buildings13081932,https://doi.org/10.3390/buildings13081932
10.3390/app13169057,https://doi.org/10.3390/app13169057
10.3390/su151411132,https://doi.org/10.3390/su151411132
10.3390/buildings13061381,https://doi.org/10.3390/buildings13061381
10.3390/en16093793,https://doi.org/10.3390/en16093793
10.3390/en16083411,https://doi.org/10.3390/en16083411
10.3390/app13074633,https://doi.org/10.3390/app13074633
10.3390/buildings13041090,https://doi.org/10.3390/buildings13041090
10.3390/en16052148,https://doi.org/10.3390/en16052148
10.3390/biomimetics8010052,https://doi.org/10.3390/biomimetics8010052
