doi,doi_url
10.3390/buildings14124053,https://doi.org/10.3390/buildings14124053
10.3390/app142310979,https://doi.org/10.3390/app142310979
10.3390/buildings14123886,https://doi.org/10.3390/buildings14123886
10.3390/en17236095,https://doi.org/10.3390/en17236095
10.3390/su162310405,https://doi.org/10.3390/su162310405
10.3390/su162310170,https://doi.org/10.3390/su162310170
10.3390/su16229739,https://doi.org/10.3390/su16229739
10.3390/en17215270,https://doi.org/10.3390/en17215270
10.3390/buildings14113486,https://doi.org/10.3390/buildings14113486
10.3390/buildings14092646,https://doi.org/10.3390/buildings14092646
10.3390/biomimetics9090569,https://doi.org/10.3390/biomimetics9090569
