doi,doi_url
10.3390/s21103417,https://doi.org/10.3390/s21103417
10.3390/en14071799,https://doi.org/10.3390/en14071799
10.3390/en14082195,https://doi.org/10.3390/en14082195
10.3390/biomimetics6010008,https://doi.org/10.3390/biomimetics6010008
10.3390/su122310118,https://doi.org/10.3390/su122310118
10.3390/POLYM12091914,https://doi.org/10.3390/POLYM12091914
10.3390/BUILDINGS10070114,https://doi.org/10.3390/BUILDINGS10070114
10.3390/su12114391,https://doi.org/10.3390/su12114391
10.3390/buildings10020022,https://doi.org/10.3390/buildings10020022
10.3390/app10041218,https://doi.org/10.3390/app10041218
10.3390/en13010060,https://doi.org/10.3390/en13010060
