doi,doi_url
10.3390/su9112096,https://doi.org/10.3390/su9112096
10.3390/en10101672,https://doi.org/10.3390/en10101672
10.3390/su9081449,https://doi.org/10.3390/su9081449
10.3390/buildings7020040,https://doi.org/10.3390/buildings7020040
10.3390/su9030435,https://doi.org/10.3390/su9030435
10.3390/en9110926,https://doi.org/10.3390/en9110926
10.3390/su8090883,https://doi.org/10.3390/su8090883
10.3390/en8042358,https://doi.org/10.3390/en8042358
10.3390/s141120320,https://doi.org/10.3390/s141120320
10.3390/en7085201,https://doi.org/10.3390/en7085201
