doi,doi_url
10.3390/en15239214,https://doi.org/10.3390/en15239214
10.3390/buildings12112017,https://doi.org/10.3390/buildings12112017
10.3390/en15218168,https://doi.org/10.3390/en15218168
10.3390/su142114163,https://doi.org/10.3390/su142114163
10.3390/buildings12112026,https://doi.org/10.3390/buildings12112026
10.3390/su141912652,https://doi.org/10.3390/su141912652
10.3390/biomimetics7030085,https://doi.org/10.3390/biomimetics7030085
10.3390/en15155390,https://doi.org/10.3390/en15155390
10.3390/buildings12081101,https://doi.org/10.3390/buildings12081101
10.3390/atmos13081244,https://doi.org/10.3390/atmos13081244
10.3390/buildings12070878,https://doi.org/10.3390/buildings12070878
