doi,doi_url
10.3390/buildings14020556,https://doi.org/10.3390/buildings14020556
10.3390/su16031145,https://doi.org/10.3390/su16031145
10.3390/su16010288,https://doi.org/10.3390/su16010288
10.3390/buildings14010042,https://doi.org/10.3390/buildings14010042
10.3390/biomimetics8080603,https://doi.org/10.3390/biomimetics8080603
10.3390/buildings13112840,https://doi.org/10.3390/buildings13112840
10.3390/su152216119,https://doi.org/10.3390/su152216119
10.3390/en16196978,https://doi.org/10.3390/en16196978
10.3390/su151914319,https://doi.org/10.3390/su151914319
10.3390/en16207198,https://doi.org/10.3390/en16207198
10.3390/galaxies11050105,https://doi.org/10.3390/galaxies11050105
