doi,doi_url
10.3390/su11247096,https://doi.org/10.3390/su11247096
10.3390/su11174684,https://doi.org/10.3390/su11174684
10.3390/app9183688,https://doi.org/10.3390/app9183688
10.3390/su11092681,https://doi.org/10.3390/su11092681
10.3390/buildings9040084,https://doi.org/10.3390/buildings9040084
10.3390/buildings9040080,https://doi.org/10.3390/buildings9040080
10.3390/su11051253,https://doi.org/10.3390/su11051253
10.3390/s19040843,https://doi.org/10.3390/s19040843
10.3390/buildings9020044,https://doi.org/10.3390/buildings9020044
10.3390/su10072548,https://doi.org/10.3390/su10072548
10.3390/su9122244,https://doi.org/10.3390/su9122244
