doi,doi_url
10.3390/app12031496,https://doi.org/10.3390/app12031496
10.3390/buildings12010025,https://doi.org/10.3390/buildings12010025
10.3390/app12010082,https://doi.org/10.3390/app12010082
10.3390/buildings11120637,https://doi.org/10.3390/buildings11120637
10.3390/architecture1020007,https://doi.org/10.3390/architecture1020007
10.3390/en14248272,https://doi.org/10.3390/en14248272
10.3390/su132413547,https://doi.org/10.3390/su132413547
10.3390/buildings11110494,https://doi.org/10.3390/buildings11110494
10.3390/polym13213767,https://doi.org/10.3390/polym13213767
10.3390/universe7110422,https://doi.org/10.3390/universe7110422
10.3390/su132011307,https://doi.org/10.3390/su132011307
